year,new_district_id,candidate,party,estimated_votes
2016,3,Ratcliffe,REPUBLICAN,1801.1489859812025
2016,3,Wommack,LIBERTARIAN,162.22533830366382
2016,4,Ratcliffe,REPUBLICAN,73.85101401879771
2016,4,Wommack,LIBERTARIAN,4.774661696336166
2018,3,ASHBY,LIBERTARIAN,27.208880486681693
2018,3,KRANTZ,DEMOCRAT,298.96232739867014
2018,3,RATCLIFFE,REPUBLICAN,1510.7425609645081
2018,4,ASHBY,LIBERTARIAN,0.7911195133183063
2018,4,KRANTZ,DEMOCRAT,11.037672601329836
2018,4,RATCLIFFE,REPUBLICAN,66.25743903549176
2020,3,ANTONELLI,LIBERTARIAN,34.941414109028564
2020,3,FALLON,REPUBLICAN,1980.7540773828778
2020,3,FOSTER,DEMOCRAT,354.0421791819032
2020,4,ANTONELLI,LIBERTARIAN,1.0585858909714378
2020,4,FALLON,REPUBLICAN,84.24592261712215
2020,4,FOSTER,DEMOCRAT,11.95782081809686
2022,3,FALLON,REPUBLICAN,1598.348313333879
2022,3,OMERE,DEMOCRAT,250.51371255100057
2022,3,SIMMONS,LIBERTARIAN,41.20467788178118
2022,4,FALLON,REPUBLICAN,74.65168666612085
2022,4,OMERE,DEMOCRAT,8.486287448999436
2022,4,SIMMONS,LIBERTARIAN,1.7953221182188261
2024,3,CARDELL,DEMOCRAT,357.4516803682823
2024,3,FALLON,REPUBLICAN,2121.1760248921114
2024,4,CARDELL,DEMOCRAT,11.548319631717671
2024,4,FALLON,REPUBLICAN,95.82397510788866
