year,new_district_id,candidate,party,estimated_votes
2016,4,Boler,LIBERTARIAN,819.0803778485835
2016,4,Burgess,REPUBLICAN,17985.24973538417
2016,4,Kolis,LIBERTARIAN,37.476178424085276
2016,4,Marchant,REPUBLICAN,505.49923807629534
2016,4,Mauck,DEMOCRAT,8286.095256119603
2016,4,McCormick,OTHER,19.700486498507008
2016,4,McDowell,DEMOCRAT,638.5323467524508
2016,12,Boler,LIBERTARIAN,7.740534828156589
2016,12,Burgess,REPUBLICAN,141.39376952766037
2016,12,Mauck,DEMOCRAT,47.7098419408197
2016,13,Boler,LIBERTARIAN,2588.1604334781696
2016,13,Burgess,REPUBLICAN,26360.49378469605
2016,13,Mauck,DEMOCRAT,19836.827405107037
2016,24,Boler,LIBERTARIAN,43.19579464634545
2016,24,Burgess,REPUBLICAN,738.6300673658585
2016,24,Kolis,LIBERTARIAN,5.6376911870664035
2016,24,Marchant,REPUBLICAN,196.337890265517
2016,24,Mauck,DEMOCRAT,340.21559144195993
2016,24,McCormick,OTHER,1.4282888363629236
2016,24,McDowell,DEMOCRAT,78.15105216659171
2016,26,Boler,LIBERTARIAN,6805.822859198745
2016,26,Burgess,REPUBLICAN,118072.23264302626
2016,26,Kolis,LIBERTARIAN,1300.5186174118817
2016,26,Marchant,REPUBLICAN,23496.128524115902
2016,26,Mauck,DEMOCRAT,48565.151905390565
2016,26,McCormick,OTHER,553.5214554948449
2016,26,McDowell,DEMOCRAT,18118.106059613343
2016,32,Kolis,LIBERTARIAN,17.36751297696649
2016,32,Marchant,REPUBLICAN,218.03434754228869
2016,32,McCormick,OTHER,9.349769170285258
2016,32,McDowell,DEMOCRAT,248.21054146761756
2018,4,BOLER,LIBERTARIAN,358.9112490243726
2018,4,BURGESS,REPUBLICAN,16069.287844831733
2018,4,FAGAN,DEMOCRAT,11095.547202954898
2018,4,KOLLS,LIBERTARIAN,21.49004841902997
2018,4,MARCHANT,REPUBLICAN,419.13223415865207
2018,4,MCDOWELL,DEMOCRAT,663.1596918214391
2018,12,BOLER,LIBERTARIAN,4.560886268203341
2018,12,BURGESS,REPUBLICAN,133.17787903153757
2018,12,FAGAN,DEMOCRAT,67.77476994550166
2018,13,BOLER,LIBERTARIAN,892.3502732046674
2018,13,BURGESS,REPUBLICAN,21990.305650417908
2018,13,FAGAN,DEMOCRAT,25691.48275075814
2018,24,BOLER,LIBERTARIAN,15.65015747654965
2018,24,BURGESS,REPUBLICAN,663.8960644117011
2018,24,FAGAN,DEMOCRAT,425.70684944853724
2018,24,KOLLS,LIBERTARIAN,3.77170682401736
2018,24,MARCHANT,REPUBLICAN,165.72940451384096
2018,24,MCDOWELL,DEMOCRAT,93.57692867097184
2018,26,BOLER,LIBERTARIAN,2709.527434026207
2018,26,BURGESS,REPUBLICAN,105260.33256130714
2018,26,FAGAN,DEMOCRAT,62860.48842689292
2018,26,KOLLS,LIBERTARIAN,731.9374637244913
2018,26,MARCHANT,REPUBLICAN,20228.020196323007
2018,26,MCDOWELL,DEMOCRAT,21209.365366096798
2018,32,KOLLS,LIBERTARIAN,8.800781032461286
2018,32,MARCHANT,REPUBLICAN,179.11816500450269
2018,32,MCDOWELL,DEMOCRAT,269.8980134107908
2020,4,BAUER,OTHER,9.706995542950171
2020,4,BOLER,LIBERTARIAN,566.8440733744291
2020,4,BURGESS,REPUBLICAN,24280.89590978905
2020,4,HAMILTON,LIBERTARIAN,29.076130871589406
2020,4,IANNUZZI,DEMOCRAT,16562.40651899451
2020,4,KUZMICH,OTHER,12.754711929192874
2020,4,VALENZUELA,DEMOCRAT,898.08626905043
2020,4,VANDUYNE,REPUBLICAN,546.3733165864345
2020,12,BOLER,LIBERTARIAN,9.48664343786295
2020,12,BURGESS,REPUBLICAN,221.02054855713394
2020,12,IANNUZZI,DEMOCRAT,108.82274635933173
2020,13,BOLER,LIBERTARIAN,1635.0429654936056
2020,13,BURGESS,REPUBLICAN,30262.553189591057
2020,13,IANNUZZI,DEMOCRAT,29556.041328442454
2020,24,BAUER,OTHER,2.2773145185968233
2020,24,BOLER,LIBERTARIAN,28.440061725234113
2020,24,BURGESS,REPUBLICAN,923.6056598985726
2020,24,HAMILTON,LIBERTARIAN,3.515635866692631
2020,24,IANNUZZI,DEMOCRAT,590.7350384629497
2020,24,KUZMICH,OTHER,4.686835975308873
2020,24,VALENZUELA,DEMOCRAT,123.73446645183967
2020,24,VANDUYNE,REPUBLICAN,221.42592262727507
2020,26,BAUER,OTHER,409.8144402664382
2020,26,BOLER,LIBERTARIAN,5003.186255968867
2020,26,BURGESS,REPUBLICAN,150955.92469216426
2020,26,HAMILTON,LIBERTARIAN,967.8978545215963
2020,26,IANNUZZI,DEMOCRAT,86752.99436774079
2020,26,KUZMICH,OTHER,800.4899258855976
2020,26,VALENZUELA,DEMOCRAT,29428.571325148543
2020,26,VANDUYNE,REPUBLICAN,26989.195847870695
2020,32,BAUER,OTHER,4.201249672014735
