old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1211000,13,5765,7666,0.752021914949126
1211000,26,1901,7666,0.247978085050874
1211001,13,1799,5833,0.30841762386422084
1211001,26,4034,5833,0.6915823761357792
1211002,26,1613,1613,1.0
1211003,13,29,3699,0.007839956745066235
1211003,26,3670,3699,0.9921600432549338
1211004,13,757,7508,0.10082578582844966
1211004,26,6751,7508,0.8991742141715503
1211005,13,580,1232,0.4707792207792208
1211005,26,652,1232,0.5292207792207793
1211006,13,243,372,0.6532258064516129
1211006,26,129,372,0.3467741935483871
1211007,13,426,2772,0.15367965367965367
1211007,26,2346,2772,0.8463203463203464
1211008,4,308,6660,0.04624624624624624
1211008,26,6352,6660,0.9537537537537537
1211009,4,0,823,0.0
1211009,26,823,823,1.0
1211010,13,0,7186,0.0
1211010,26,7186,7186,1.0
1211011,26,4857,4857,1.0
1211012,26,2904,2904,1.0
1211013,26,7750,7750,1.0
1211014,26,2892,2892,1.0
1211015,4,429,4341,0.09882515549412578
1211015,26,3912,4341,0.9011748445058743
1211016,4,6476,11355,0.5703214442976662
1211016,26,4879,11355,0.42967855570233376
1211017,4,5645,12787,0.4414639868616564
1211017,26,7142,12787,0.5585360131383437
1211018,4,3655,4827,0.7571990884607417
1211018,26,1172,4827,0.24280091153925834
1211019,4,5137,5137,1.0
1211020,4,4698,4990,0.9414829659318638
1211020,26,292,4990,0.05851703406813627
1211021,4,8590,8882,0.9671245215041657
1211021,26,292,8882,0.03287547849583427
1211022,4,7363,7363,1.0
1211023,4,5346,5346,1.0
1211024,4,8494,8494,1.0
1211025,4,4281,4654,0.9198538891276321
1211025,26,373,4654,0.08014611087236785
1211026,4,4831,6340,0.76198738170347
1211026,26,1509,6340,0.23801261829652998
1211027,4,1803,5117,0.3523548954465507
1211027,26,3314,5117,0.6476451045534493
1211028,4,901,3751,0.24020261263663023
1211028,26,2850,3751,0.7597973873633698
1211029,4,1136,2847,0.3990165086055497
1211029,26,1711,2847,0.6009834913944503
1211030,4,802,2046,0.3919843597262952
1211030,26,1244,2046,0.6080156402737048
1211031,4,1586,12220,0.12978723404255318
1211031,26,10634,12220,0.8702127659574468
1211032,4,8472,10314,0.8214077952297848
1211032,26,1842,10314,0.17859220477021523
1211033,4,6173,7493,0.8238355798745496
1211033,26,1320,7493,0.17616442012545042
1211034,4,2609,6582,0.3963840777879064
1211034,26,3973,6582,0.6036159222120936
1211035,26,10446,10446,1.0
1211036,4,8929,11017,0.8104747208859036
1211036,26,2088,11017,0.1895252791140964
1211037,4,4357,6014,0.7244762221483206
1211037,26,1657,6014,0.2755237778516794
1211038,4,2843,7478,0.3801818668093073
1211038,26,4635,7478,0.6198181331906927
1211039,4,2880,8252,0.34900630150266604
1211039,26,5372,8252,0.650993698497334
1211040,4,948,6175,0.15352226720647774
1211040,26,5227,6175,0.8464777327935222
1211041,4,2863,15834,0.1808134394341291
1211041,26,12971,15834,0.8191865605658709
1211042,26,8374,8374,1.0
1211044,26,5751,5751,1.0
1211045,13,0,7499,0.0
1211045,26,7499,7499,1.0
1211046,26,1631,1631,1.0
1211047,26,11161,11161,1.0
1211048,4,689,13536,0.05090130023640662
1211048,26,12847,13536,0.9490986997635934
1211049,26,9680,9680,1.0
1211050,26,2133,2133,1.0
1211051,26,4969,4969,1.0
1211052,26,7275,7275,1.0
1211053,26,2381,2381,1.0
1211054,26,7442,7442,1.0
1211055,13,0,2352,0.0
1211055,26,2352,2352,1.0
1211056,13,4079,4289,0.9510375378876195
1211056,26,210,4289,0.048962462112380506
1211057,13,2775,3085,0.899513776337115
1211057,26,310,3085,0.10048622366288493
1211058,13,8079,8763,0.921944539541253
1211058,26,684,8763,0.078055460458747
1211059,13,4084,4084,1.0
1211060,13,3529,3529,1.0
