old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1230101,15,4857,4857,1.0
1230102,15,3142,3142,1.0
1230201,15,2286,2286,1.0
1230202,15,2382,2382,1.0
1230203,15,2093,2136,0.9798689138576779
1230203,27,43,2136,0.020131086142322098
1230301,15,2570,2619,0.9812905689194349
1230301,35,49,2619,0.018709431080565102
1230302,15,2775,2775,1.0
1230303,15,824,887,0.9289740698985344
1230303,35,63,887,0.07102593010146561
1230401,15,5198,5355,0.9706816059757236
1230401,27,157,5355,0.029318394024276377
1230402,15,1989,2136,0.9311797752808989
1230402,27,147,2136,0.06882022471910113
