year,new_district_id,candidate,party,estimated_votes
2016,13,DeWeese,LIBERTARIAN,32.40037147537147
2016,13,Thornberry,REPUBLICAN,763.1526295776295
2016,13,Tomlinson,OTHER,20.811117936117938
2016,19,DeWeese,LIBERTARIAN,0.5996285246285247
2016,19,Thornberry,REPUBLICAN,9.847370422370421
2016,19,Tomlinson,OTHER,0.18888206388206388
2018,13,DEWEESE,LIBERTARIAN,1.9673423423423424
2018,13,SAGAN,DEMOCRAT,92.46518661518661
2018,13,THORNBERRY,REPUBLICAN,645.8209868959868
2018,19,DEWEESE,LIBERTARIAN,0.03265765765765766
2018,19,SAGAN,DEMOCRAT,1.5348133848133845
2018,19,THORNBERRY,REPUBLICAN,8.179013104013105
2020,13,JACKSON,REPUBLICAN,817.4793309901108
2020,13,TRUJILLO,DEMOCRAT,121.32490170380079
2020,13,WESTBROOK,LIBERTARIAN,8.98165137614679
2020,19,JACKSON,REPUBLICAN,10.520669009889193
2020,19,TRUJILLO,DEMOCRAT,1.6750982961992136
2020,19,WESTBROOK,LIBERTARIAN,0.01834862385321101
2022,13,BROWN,DEMOCRAT,96.49740104683484
2022,13,JACKSON,REPUBLICAN,675.1425468145235
2022,19,BROWN,DEMOCRAT,1.5025989531651667
2022,19,JACKSON,REPUBLICAN,9.857453185476619
2024,13,JACKSON,REPUBLICAN,829.7239359016764
2024,19,JACKSON,REPUBLICAN,13.276064098323555
