year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,2.005451930849139
2016,23,Gallego,DEMOCRAT,22.880429357463143
2016,23,Hurd,REPUBLICAN,10.394693338468848
2016,28,Corvalan,LIBERTARIAN,170.99454806915085
2016,28,Gallego,DEMOCRAT,2015.119570642537
2016,28,Hurd,REPUBLICAN,922.6053066615311
2018,23,CORVALAN,LIBERTARIAN,0.29678668266850405
2018,23,HURD,REPUBLICAN,8.296460559713353
2018,23,ORTIZ JONES,DEMOCRAT,21.075426562028333
2018,28,CORVALAN,LIBERTARIAN,42.703213317331496
2018,28,HURD,REPUBLICAN,778.7035394402867
2018,28,ORTIZ JONES,DEMOCRAT,1998.9245734379717
2020,23,GONZALES,REPUBLICAN,13.17282684578717
2020,23,ORTIZ JONES,DEMOCRAT,22.97307468968674
2020,23,VILLELA,LIBERTARIAN,0.7805624681276702
2020,28,GONZALES,REPUBLICAN,1234.8271731542127
2020,28,ORTIZ JONES,DEMOCRAT,2219.0269253103133
2020,28,VILLELA,LIBERTARIAN,77.21943753187233
2022,23,GONZALES,REPUBLICAN,9.30795414553694
2022,23,LIRA,DEMOCRAT,14.740632231663971
2022,23,LOPEZ,OTHER,1.8028394501721035
2022,28,GONZALES,REPUBLICAN,960.6920458544631
2022,28,LIRA,DEMOCRAT,1547.259367768336
2022,28,LOPEZ,OTHER,160.19716054982788
2024,23,GONZALES,REPUBLICAN,14.621163283778763
2024,23,LIMON,DEMOCRAT,14.451084162457562
2024,28,GONZALES,REPUBLICAN,1493.378836716221
2024,28,LIMON,DEMOCRAT,1475.5489158375424
