year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,DEMOCRAT,165.47061966967888
2016,15,Leone,LIBERTARIAN,1.8559135803617828
2016,15,Tijerina,OTHER,5.498270976432769
2016,15,Westley,REPUBLICAN,23.404779078882626
2016,28,Gonzalez,DEMOCRAT,2819.529380330321
2016,28,Leone,LIBERTARIAN,49.144086419638214
2016,28,Tijerina,OTHER,101.50172902356724
2016,28,Westley,REPUBLICAN,750.5952209211174
2018,15,CRISTO,LIBERTARIAN,2.512181178297455
2018,15,GONZALEZ,DEMOCRAT,149.33236752895
2018,15,WESTLEY,REPUBLICAN,25.62016149916735
2018,28,CRISTO,LIBERTARIAN,47.48781882170255
2018,28,GONZALEZ,DEMOCRAT,2872.66763247105
2018,28,WESTLEY,REPUBLICAN,781.3798385008326
2020,15,DE LA CRUZ HERNANDEZ,REPUBLICAN,60.66192896272404
2020,15,GONZALEZ,DEMOCRAT,143.32920601261236
2020,15,LEONE,LIBERTARIAN,4.488895563533849
2020,28,DE LA CRUZ HERNANDEZ,REPUBLICAN,1581.3380710372762
2020,28,GONZALEZ,DEMOCRAT,2671.6707939873877
2020,28,LEONE,LIBERTARIAN,71.51110443646616
2022,15,CUELLAR,DEMOCRAT,110.9385409467819
2022,15,GARCIA,REPUBLICAN,41.249581603019635
2022,28,CUELLAR,DEMOCRAT,2144.061459053218
2022,28,GARCIA,REPUBLICAN,1113.7504183969804
2024,15,CUELLAR,DEMOCRAT,130.49476308288223
2024,15,FURMAN,REPUBLICAN,54.13164018019323
2024,28,CUELLAR,DEMOCRAT,2449.505236917118
2024,28,FURMAN,REPUBLICAN,1327.8683598198068
