old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1310001,15,417,3719,0.11212691583759075
1310001,28,3302,3719,0.8878730841624093
1310002,28,1467,1467,1.0
1310003,15,73,658,0.11094224924012158
1310003,28,585,658,0.8890577507598785
1310004,15,4,321,0.012461059190031152
1310004,28,317,321,0.9875389408099688
1310005,28,808,808,1.0
1310006,28,235,235,1.0
1310007,28,885,885,1.0
1310008,28,2723,2723,1.0
1310009,15,279,3346,0.08338314405260012
1310009,28,3067,3346,0.9166168559473998
