year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,17.289389067524116
2016,11,Landholt,LIBERTARIAN,1.114951768488746
2016,19,Conaway,REPUBLICAN,0.0
2016,19,Landholt,LIBERTARIAN,0.0
2016,25,Conaway,REPUBLICAN,6007.710610932476
2016,25,Landholt,LIBERTARIAN,431.88504823151123
2018,11,CONAWAY,REPUBLICAN,16.05225080385852
2018,11,LEEDER,DEMOCRAT,1.7106109324758842
2018,11,SMITH,LIBERTARIAN,0.12218649517684887
2018,19,CONAWAY,REPUBLICAN,0.0
2018,19,LEEDER,DEMOCRAT,0.0
2018,19,SMITH,LIBERTARIAN,0.0
2018,25,CONAWAY,REPUBLICAN,5370.947749196142
2018,25,LEEDER,DEMOCRAT,749.2893890675241
2018,25,SMITH,LIBERTARIAN,58.87781350482315
2020,11,CODY,LIBERTARIAN,0.3980660757453667
2020,11,HOGG,DEMOCRAT,1.944399677679291
2020,11,PFLUGER,REPUBLICAN,20.087026591458503
2020,19,CODY,LIBERTARIAN,0.0
2020,19,HOGG,DEMOCRAT,0.0
2020,19,PFLUGER,REPUBLICAN,0.0
2020,25,CODY,LIBERTARIAN,141.60193392425464
2020,25,HOGG,DEMOCRAT,897.0556003223207
2020,25,PFLUGER,REPUBLICAN,6958.912973408542
2022,11,WILLIAMS,REPUBLICAN,17.05560032232071
2022,19,WILLIAMS,REPUBLICAN,0.0
2022,25,WILLIAMS,REPUBLICAN,5500.944399677679
2024,11,HAGG,OTHER,0.15310233682514102
2024,11,WILLIAMS,REPUBLICAN,22.32232070910556
2024,19,HAGG,OTHER,0.0
2024,19,WILLIAMS,REPUBLICAN,0.0
2024,25,HAGG,OTHER,78.84689766317486
2024,25,WILLIAMS,REPUBLICAN,7449.677679290895
