year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,27174.339123051657
2016,11,Landholt,LIBERTARIAN,4141.141457919521
2016,19,Conaway,REPUBLICAN,2.116062176165803
2016,19,Landholt,LIBERTARIAN,0.21347150259067357
2016,23,Conaway,REPUBLICAN,65.54481477217539
2016,23,Landholt,LIBERTARIAN,12.64507057788861
2018,11,CONAWAY,REPUBLICAN,21987.351023300296
2018,11,LEEDER,DEMOCRAT,7874.333799008727
2018,11,SMITH,LIBERTARIAN,456.3073818850317
2018,19,CONAWAY,REPUBLICAN,1.921243523316062
2018,19,LEEDER,DEMOCRAT,0.13471502590673576
2018,19,SMITH,LIBERTARIAN,0.026943005181347148
2018,23,CONAWAY,REPUBLICAN,50.727733176382856
2018,23,LEEDER,DEMOCRAT,29.531485965365718
2018,23,SMITH,LIBERTARIAN,1.6656751097869116
2020,11,CODY,LIBERTARIAN,978.2347012948553
2020,11,HOGG,DEMOCRAT,10465.90341692424
2020,11,PFLUGER,REPUBLICAN,31751.251837466298
2020,19,CODY,LIBERTARIAN,0.043523316062176166
2020,19,HOGG,DEMOCRAT,0.20932642487046632
2020,19,PFLUGER,REPUBLICAN,2.5637305699481865
2020,23,CODY,LIBERTARIAN,2.721775389082542
2020,23,HOGG,DEMOCRAT,34.88725665088995
2020,23,PFLUGER,REPUBLICAN,94.18443196375546
2022,11,PFLUGER,REPUBLICAN,19096.237316717095
2022,19,PFLUGER,REPUBLICAN,1.7782049386366996
2022,23,PFLUGER,REPUBLICAN,47.98447834426946
2024,11,PFLUGER,REPUBLICAN,36062.839794393476
2024,19,PFLUGER,REPUBLICAN,2.7159544580807333
2024,23,PFLUGER,REPUBLICAN,119.44425114844772
