old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1350101,11,14262,14275,0.9990893169877408
1350101,23,13,14275,0.0009106830122591944
1350102,11,13930,13943,0.9990676325037653
1350102,23,13,13943,0.0009323674962346697
1350103,11,7645,7645,1.0
1350104,11,1271,1271,1.0
1350106,11,4324,4324,1.0
1350107,11,3756,3756,1.0
1350108,11,6723,6723,1.0
1350109,11,1040,1072,0.9701492537313433
1350109,19,0,1072,0.0
1350109,23,32,1072,0.029850746268656716
1350110,11,12538,12538,1.0
1350111,11,4676,4676,1.0
1350201,11,13028,13028,1.0
1350202,11,7174,7174,1.0
1350203,11,7145,7145,1.0
1350204,11,4580,4580,1.0
1350205,11,5624,5624,1.0
1350206,11,3286,3286,1.0
1350207,11,6741,6755,0.9979274611398964
1350207,19,14,6755,0.002072538860103627
1350208,11,10714,10714,1.0
1350209,11,3466,3466,1.0
1350301,11,6723,6723,1.0
1350302,11,3254,3254,1.0
1350303,11,7367,7367,1.0
1350304,11,2564,2564,1.0
1350305,11,2194,2194,1.0
1350306,11,5123,5123,1.0
1350307,11,7929,7929,1.0
1350308,11,4306,4306,1.0
1350309,11,4963,4963,1.0
1350311,11,4314,4314,1.0
1350312,11,4993,4993,1.0
1350401,11,3752,3752,1.0
1350402,11,8316,8316,1.0
1350403,11,7612,7612,1.0
1350404,11,5511,5943,0.9273094396769308
1350404,23,432,5943,0.07269056032306916
1350405,11,3206,3206,1.0
1350406,11,8230,8230,1.0
1350407,11,5681,5681,1.0
1350408,11,2912,2912,1.0
1350409,11,3883,4301,0.9028132992327366
1350409,23,418,4301,0.09718670076726342
1350412,11,3410,3410,1.0
