old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1410001,16,5013,5013,1.0
1410002,16,10749,10749,1.0
1410003,16,6669,6669,1.0
1410004,16,6925,6925,1.0
1410005,16,16330,16330,1.0
1410006,16,4578,4578,1.0
1410007,16,4910,4910,1.0
1410008,16,5490,5490,1.0
1410009,16,5298,5298,1.0
1410010,16,9196,9196,1.0
1410011,16,10759,10759,1.0
1410012,16,5426,5426,1.0
1410013,16,5628,5628,1.0
1410014,16,10832,10832,1.0
1410015,16,8179,8179,1.0
1410016,16,8073,8073,1.0
1410017,16,5066,5066,1.0
1410018,16,8898,8898,1.0
1410019,16,9629,9629,1.0
1410020,16,4277,4277,1.0
1410021,16,7110,7110,1.0
1410022,16,7530,7530,1.0
1410023,16,4369,4369,1.0
1410024,16,8807,8807,1.0
1410025,16,9538,9538,1.0
1410026,16,4794,4794,1.0
1410027,16,5075,5075,1.0
1410028,16,1205,1205,1.0
1410029,16,10570,10570,1.0
1410030,16,2394,2394,1.0
1410031,16,12948,12948,1.0
1410032,16,3995,3995,1.0
1410033,16,6317,6317,1.0
1410034,16,3617,3617,1.0
1410035,16,7277,7277,1.0
1410036,16,4613,4613,1.0
1410037,16,6977,6977,1.0
1410038,16,5955,5955,1.0
1410039,16,2260,2260,1.0
1410040,16,3148,3148,1.0
1410041,16,3157,3157,1.0
1410042,16,5325,5325,1.0
1410043,16,4109,4867,0.8442572426546127
1410043,23,758,4867,0.1557427573453873
1410044,16,12079,17479,0.6910578408375765
1410044,23,5400,17479,0.30894215916242346
1410045,16,9125,11303,0.8073077943908696
1410045,23,2178,11303,0.1926922056091303
1410046,16,4512,4758,0.9482976040353089
1410046,23,246,4758,0.05170239596469105
1410047,16,5982,5982,1.0
1410048,16,5403,5518,0.9791591156216021
1410048,23,115,5518,0.02084088437839797
1410049,16,5587,8310,0.6723225030084236
1410049,23,2723,8310,0.3276774969915764
1410050,16,14094,27705,0.5087168381158635
1410050,23,13611,27705,0.49128316188413645
1410051,16,4879,4879,1.0
1410052,16,8888,8888,1.0
1410053,16,7584,7720,0.9823834196891191
1410053,23,136,7720,0.017616580310880828
1410054,16,8203,11109,0.7384102979566117
1410054,23,2906,11109,0.2615897020433882
1410055,16,5227,5227,1.0
1410056,16,5008,5008,1.0
1410057,16,6828,6828,1.0
1410058,16,4538,4538,1.0
1410058,23,0,4538,0.0
1410059,16,9371,9371,1.0
1410059,23,0,9371,0.0
1410060,16,6676,6676,1.0
1410061,16,3540,3540,1.0
1410062,16,5243,5243,1.0
1410063,16,6514,6514,1.0
1410064,16,8092,8092,1.0
1410064,23,0,8092,0.0
1410065,16,7136,7136,1.0
1410065,23,0,7136,0.0
1410066,16,4970,4970,1.0
1410067,16,6764,6764,1.0
1410068,16,6156,6156,1.0
1410069,16,10137,10137,1.0
1410070,16,7000,7000,1.0
1410071,16,4961,4961,1.0
1410072,16,3871,3871,1.0
1410073,16,2996,2996,1.0
1410074,16,5408,5408,1.0
1410075,16,2822,2822,1.0
1410076,16,2716,2716,1.0
1410077,16,5896,5896,1.0
1410078,16,2780,2780,1.0
1410079,16,2586,2586,1.0
1410080,16,3409,3409,1.0
1410081,16,1856,1856,1.0
1410082,16,4141,4141,1.0
1410083,16,5308,5308,1.0
1410084,16,6080,6080,1.0
1410085,16,5434,5434,1.0
1410086,16,13180,17029,0.773973809383992
1410086,23,3849,17029,0.22602619061600798
1410087,16,3713,3713,1.0
1410087,23,0,3713,0.0
1410088,16,9638,9638,1.0
1410089,16,8118,8118,1.0
1410090,16,3868,3868,1.0
1410091,16,1794,1794,1.0
1410092,16,9496,9496,1.0
1410093,16,3266,3266,1.0
1410094,16,6441,6441,1.0
1410095,16,6852,6852,1.0
1410096,16,5287,5287,1.0
1410097,16,6634,6634,1.0
1410098,16,3661,3661,1.0
1410099,16,5965,5965,1.0
1410100,16,7300,7300,1.0
1410101,16,6317,6317,1.0
1410102,16,6277,6277,1.0
1410103,16,7061,7061,1.0
1410104,16,6756,6756,1.0
1410105,16,6181,6181,1.0
1410106,16,8068,8068,1.0
1410107,16,6116,6116,1.0
1410108,16,7142,7142,1.0
1410109,16,7056,7056,1.0
1410110,16,7463,7463,1.0
1410111,16,7445,7445,1.0
1410112,16,8480,8480,1.0
1410113,16,6395,6395,1.0
1410114,16,11915,11915,1.0
1410115,16,14447,14447,1.0
1410116,16,18827,18827,1.0
1410117,16,6316,6316,1.0
1410118,16,7098,7098,1.0
1410119,16,8472,8472,1.0
1410120,16,9747,9747,1.0
1410121,16,8031,8031,1.0
1410122,16,10632,10632,1.0
1410123,16,10588,10588,1.0
1410124,16,7950,7950,1.0
1410125,16,11530,11530,1.0
1410126,16,13479,13479,1.0
1410127,16,8472,8544,0.9915730337078652
1410127,23,72,8544,0.008426966292134831
1410128,16,18854,19828,0.950877546903369
1410128,23,974,19828,0.049122453096631026
