old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1390101,6,10779,11174,0.9646500805441203
1390101,30,395,11174,0.03534991945587972
1390102,6,9534,9534,1.0
1390103,6,10677,10677,1.0
1390104,6,8809,8809,1.0
1390105,6,12630,12630,1.0
1390106,6,7681,7681,1.0
1390107,6,9357,9410,0.9943676939426143
1390107,30,53,9410,0.0056323060573857595
1390108,6,8921,8921,1.0
1390109,6,4495,5267,0.8534269982912474
1390109,30,772,5267,0.14657300170875262
1390110,6,11485,14439,0.7954151949580995
1390110,30,2954,14439,0.2045848050419004
1390111,6,5964,5964,1.0
1390112,6,4999,4999,1.0
1390113,6,4625,4625,1.0
1390114,6,7179,7179,1.0
1390115,6,6897,6897,1.0
1390116,6,5077,5077,1.0
1390117,6,6227,6227,1.0
1390118,6,8412,8412,1.0
1390119,6,5149,5149,1.0
1390120,6,3555,3555,1.0
1390121,6,5613,5613,1.0
1390122,6,5064,5064,1.0
1390123,6,3163,3163,1.0
1390124,6,5731,5731,1.0
1390125,5,47,9764,0.004813600983203605
1390125,6,9717,9764,0.9951863990167964
1390126,6,3366,3366,1.0
1390127,6,2878,2878,1.0
1390128,6,1679,1679,1.0
1390129,6,1997,1997,1.0
1390130,6,1496,1597,0.936756418284283
1390130,17,101,1597,0.06324358171571696
1390131,6,3287,3287,1.0
1390132,6,1853,1853,1.0
1390133,6,1946,1946,1.0
1390134,6,2662,2662,1.0
1390135,6,9066,9105,0.9957166392092257
1390135,17,39,9105,0.0042833607907743
1390136,6,1907,1907,1.0
1390137,5,9,2541,0.0035419126328217238
1390137,6,2532,2541,0.9964580873671782
1390137,30,0,2541,0.0
1390138,6,6323,6323,1.0
1390139,6,4583,4583,1.0
1390140,6,11728,11728,1.0
1390141,6,4691,4691,1.0
1390142,6,6952,6952,1.0
1390143,6,7289,7289,1.0
1390144,6,5646,7816,0.7223643807574207
1390144,30,2170,7816,0.27763561924257935
1390145,6,8721,8861,0.9842004288455027
1390145,30,140,8861,0.015799571154497236
1390146,6,6760,7799,0.8667777920246186
1390146,30,1039,7799,0.13322220797538145
1390147,6,10413,11335,0.9186590207322453
1390147,30,922,11335,0.08134097926775474
1390148,6,7141,7416,0.9629180151024811
1390148,30,275,7416,0.03708198489751888
1390149,5,0,3507,0.0
1390149,6,3172,3507,0.9044767607641859
1390149,30,335,3507,0.09552323923581409
