old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1430010,25,4634,4634,1.0
1430011,25,2394,2394,1.0
1430012,25,4459,4459,1.0
1430018,25,5524,5596,0.9871336669049321
1430018,31,72,5596,0.012866333095067906
1430019,25,3989,3989,1.0
1430020,25,3231,3231,1.0
1430021,25,3799,3799,1.0
1430023,25,2134,2134,1.0
1430024,25,3111,3111,1.0
1430025,25,2132,2132,1.0
1430030,25,1668,1668,1.0
1430031,17,50,2813,0.017774617845716316
1430031,25,2698,2813,0.9591183789548525
1430031,31,65,2813,0.023107003199431212
1430032,25,5345,5345,1.0
1430033,25,3417,3417,1.0
1430034,25,2624,2624,1.0
1430035,25,1313,1313,1.0
1430041,25,1967,1967,1.0
1430044,25,4715,4715,1.0
1430045,25,6937,6937,1.0
1430046,25,2784,2784,1.0
1430047,25,3470,3470,1.0
