year,new_district_id,candidate,party,estimated_votes
2016,3,Ratcliffe,REPUBLICAN,170.46719501896246
2016,3,Wommack,LIBERTARIAN,15.039503324425409
2016,4,Ratcliffe,REPUBLICAN,9393.532804981038
2016,4,Wommack,LIBERTARIAN,1019.9604966755746
2018,3,ASHBY,LIBERTARIAN,3.1839043576535095
2018,3,KRANTZ,DEMOCRAT,33.587258960972704
2018,3,RATCLIFFE,REPUBLICAN,158.3384430290409
2018,4,ASHBY,LIBERTARIAN,151.8160956423465
2018,4,KRANTZ,DEMOCRAT,1879.4127410390274
2018,4,RATCLIFFE,REPUBLICAN,8465.661556970957
2020,3,ANTONELLI,LIBERTARIAN,5.844997785568795
2020,3,FALLON,REPUBLICAN,216.77586481752414
2020,3,FOSTER,DEMOCRAT,44.17424167317968
2020,4,ANTONELLI,LIBERTARIAN,281.1550022144312
2020,4,FALLON,REPUBLICAN,11608.224135182476
2020,4,FOSTER,DEMOCRAT,2353.8257583268205
2022,3,FALLON,REPUBLICAN,180.19062794535637
2022,3,OMERE,DEMOCRAT,31.374940376055463
2022,3,SIMMONS,LIBERTARIAN,4.589896567934915
2022,4,FALLON,REPUBLICAN,9406.809372054644
2022,4,OMERE,DEMOCRAT,1623.6250596239447
2022,4,SIMMONS,LIBERTARIAN,271.41010343206506
2024,3,CARDELL,DEMOCRAT,45.70374679483258
2024,3,FALLON,REPUBLICAN,260.9678270187143
2024,4,CARDELL,DEMOCRAT,2386.2962532051674
2024,4,FALLON,REPUBLICAN,13395.032172981286
