old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1470001,4,6893,6893,1.0
1470002,4,2186,2186,1.0
1470003,3,98,1207,0.0811930405965203
1470003,4,1109,1207,0.9188069594034797
1470004,4,4413,4413,1.0
1470005,4,1680,1680,1.0
1470006,4,1380,1380,1.0
1470007,3,45,1240,0.036290322580645164
1470007,4,1195,1240,0.9637096774193549
1470009,4,1787,1787,1.0
1470010,3,247,4791,0.05155499895637654
1470010,4,4544,4791,0.9484450010436235
1470011,3,364,5245,0.06939942802669209
1470011,4,4881,5245,0.9306005719733079
1470012,4,2213,2213,1.0
1470013,4,2028,2028,1.0
1470015,4,3504,3504,1.0
1470016,4,725,725,1.0
1470018,4,9418,9418,1.0
1470019,4,3613,3613,1.0
