year,new_district_id,candidate,party,estimated_votes
2016,13,Arrington,REPUBLICAN,0.13253012048192772
2016,13,Bonar,LIBERTARIAN,0.00963855421686747
2016,13,DeWeese,LIBERTARIAN,0.23793708096957195
2016,13,Lawson,OTHER,0.00783132530120482
2016,13,Thornberry,REPUBLICAN,8.995451263537905
2016,13,Tomlinson,OTHER,0.048736462093862815
2016,19,Arrington,REPUBLICAN,892.867469879518
2016,19,Bonar,LIBERTARIAN,44.99036144578314
2016,19,DeWeese,LIBERTARIAN,32.76206291903043
2016,19,Lawson,OTHER,27.992168674698796
2016,19,Thornberry,REPUBLICAN,694.0045487364621
2016,19,Tomlinson,OTHER,11.951263537906138
2018,13,ARRINGTON,REPUBLICAN,0.15060240963855423
2018,13,DEWEESE,LIBERTARIAN,0.21053120165033523
2018,13,LEVARIO,DEMOCRAT,0.10361445783132531
2018,13,SAGAN,DEMOCRAT,0.45995874161939143
2018,13,THORNBERRY,REPUBLICAN,7.4290149561629715
2018,19,ARRINGTON,REPUBLICAN,842.8493975903615
2018,19,DEWEESE,LIBERTARIAN,5.789468798349665
2018,19,LEVARIO,DEMOCRAT,307.8963855421687
2018,19,SAGAN,DEMOCRAT,106.54004125838061
2018,19,THORNBERRY,REPUBLICAN,591.570985043837
2020,13,ARRINGTON,REPUBLICAN,0.14043583535108958
2020,13,BURNES,LIBERTARIAN,0.0030266343825665863
2020,13,JACKSON,REPUBLICAN,9.785716301648227
2020,13,TRUJILLO,DEMOCRAT,0.7825553172273652
2020,13,WATSON,DEMOCRAT,0.05690072639225182
2020,13,WESTBROOK,LIBERTARIAN,0.1370653646421314
2020,19,ARRINGTON,REPUBLICAN,891.8595641646489
2020,19,BURNES,LIBERTARIAN,17.996973365617436
2020,19,JACKSON,REPUBLICAN,678.2142836983518
2020,19,TRUJILLO,DEMOCRAT,138.21744468277262
2020,19,WATSON,DEMOCRAT,239.94309927360774
2020,19,WESTBROOK,LIBERTARIAN,9.86293463535787
2022,13,ARRINGTON,REPUBLICAN,3.9557896661863556
2022,13,LEWIS,OTHER,0.5874094207624987
2022,19,ARRINGTON,REPUBLICAN,1261.0442103338137
2022,19,LEWIS,OTHER,177.41259057923753
2024,13,ARRINGTON,REPUBLICAN,5.8291041158533075
2024,13,JOHNSON,LIBERTARIAN,0.5012006563907982
2024,13,LEWIS,OTHER,0.3932420330690224
2024,19,ARRINGTON,REPUBLICAN,1725.1708958841466
2024,19,JOHNSON,LIBERTARIAN,130.49879934360922
2024,19,LEWIS,OTHER,118.60675796693099
