year,new_district_id,candidate,party,estimated_votes
2016,7,Gibson,DEMOCRAT,18194.43716413298
2016,7,Green,DEMOCRAT,9535.458514405938
2016,7,Martin,REPUBLICAN,3099.955868301611
2016,7,Olson,REPUBLICAN,16726.131848432226
2016,8,Gibson,DEMOCRAT,203.10128555309217
2016,8,Green,DEMOCRAT,409.06221475477304
2016,8,Martin,REPUBLICAN,156.7020397191103
2016,8,Olson,REPUBLICAN,632.4537524002155
2016,14,Gibson,DEMOCRAT,8164.091933347193
2016,14,Green,DEMOCRAT,1912.9869642290057
2016,14,Martin,REPUBLICAN,1673.3467231629706
2016,14,Olson,REPUBLICAN,9845.557956095112
2016,18,Gibson,DEMOCRAT,7006.121000023046
2016,18,Green,DEMOCRAT,30799.013035770997
2016,18,Martin,REPUBLICAN,5991.653276837029
2016,18,Olson,REPUBLICAN,4919.554529286446
2016,22,Gibson,DEMOCRAT,48650.5627591554
2016,22,Green,DEMOCRAT,969.4792708392881
2016,22,Martin,REPUBLICAN,397.34209197927896
2016,22,Olson,REPUBLICAN,90581.21155932194
2016,27,Gibson,DEMOCRAT,78.26554797760961
2016,27,Olson,REPUBLICAN,101.35885704579087
2016,36,Gibson,DEMOCRAT,105.42030981067126
2016,36,Olson,REPUBLICAN,53.7314974182444
2018,7,GREEN,DEMOCRAT,9121.184522246513
2018,7,HERNANDEZ,OTHER,469.48063960726614
2018,7,KULKARNI,DEMOCRAT,20356.16884876537
2018,7,KURTZ,LIBERTARIAN,501.3439434687341
2018,7,MCELLIGOTT,LIBERTARIAN,313.4647146470013
2018,7,OLSON,REPUBLICAN,13150.71766051341
2018,7,ROGERS,OTHER,301.65783571242355
2018,7,SWENY,OTHER,334.16951719192076
2018,8,GREEN,DEMOCRAT,377.52806319167036
2018,8,HERNANDEZ,OTHER,23.59956789712854
2018,8,KULKARNI,DEMOCRAT,278.9383774735373
2018,8,KURTZ,LIBERTARIAN,29.035735601956386
2018,8,MCELLIGOTT,LIBERTARIAN,11.050291332243102
2018,8,OLSON,REPUBLICAN,582.2597799417987
2018,8,ROGERS,OTHER,15.51164501983853
2018,8,SWENY,OTHER,9.946783360203275
2018,14,GREEN,DEMOCRAT,2007.6191071933845
2018,14,HERNANDEZ,OTHER,224.15720788812058
2018,14,KULKARNI,DEMOCRAT,10233.560478811301
2018,14,KURTZ,LIBERTARIAN,332.44980235433815
2018,14,MCELLIGOTT,LIBERTARIAN,187.9391667186485
2018,14,OLSON,REPUBLICAN,8468.108034359002
2018,14,ROGERS,OTHER,141.17394714577054
2018,14,SWENY,OTHER,216.9814424042675
2018,18,GREEN,DEMOCRAT,28267.380892806614
2018,18,HERNANDEZ,OTHER,1118.8427921118796
2018,18,KULKARNI,DEMOCRAT,7421.804186061188
2018,18,KURTZ,LIBERTARIAN,1061.550197645662
2018,18,MCELLIGOTT,LIBERTARIAN,116.73067411153133
2018,18,OLSON,REPUBLICAN,3840.9479185840414
2018,18,ROGERS,OTHER,1217.8260528542294
2018,18,SWENY,OTHER,122.77517274505425
2018,22,GREEN,DEMOCRAT,925.2874145618177
2018,22,HERNANDEZ,OTHER,57.9197924956053
2018,22,KULKARNI,DEMOCRAT,55882.0016452055
2018,22,KURTZ,LIBERTARIAN,70.62032092930943
2018,22,MCELLIGOTT,LIBERTARIAN,1510.9652764324583
2018,22,OLSON,REPUBLICAN,77501.22701723428
2018,22,ROGERS,OTHER,33.830519267737884
2018,22,SWENY,OTHER,1428.5938734848548
2018,27,KULKARNI,DEMOCRAT,146.79462203078154
2018,27,MCELLIGOTT,LIBERTARIAN,3.517690871714709
2018,27,OLSON,REPUBLICAN,124.51101793887466
2018,27,SWENY,OTHER,3.579338180308654
2018,36,KULKARNI,DEMOCRAT,130.73184165232357
2018,36,MCELLIGOTT,LIBERTARIAN,1.3321858864027538
2018,36,OLSON,REPUBLICAN,44.22857142857143
2018,36,SWENY,OTHER,1.9538726333907055
2020,7,GREEN,DEMOCRAT,12215.0144052748
2020,7,KULKARNI,DEMOCRAT,25625.70703640333
2020,7,LEBLANC,LIBERTARIAN,1513.5467233463085
2020,7,NEHLS,REPUBLICAN,20447.21701300407
2020,7,SOSA,LIBERTARIAN,565.710785715312
2020,7,TEAGUE,REPUBLICAN,4789.821148297071
2020,8,GREEN,DEMOCRAT,458.5669677472166
2020,8,KULKARNI,DEMOCRAT,494.28636273969846
2020,8,LEBLANC,LIBERTARIAN,49.90610708719193
2020,8,NEHLS,REPUBLICAN,945.6872880448674
2020,8,SOSA,LIBERTARIAN,27.129233554986453
2020,8,TEAGUE,REPUBLICAN,193.95425468962065
2020,14,GREEN,DEMOCRAT,2470.9530982529513
2020,14,KULKARNI,DEMOCRAT,14272.405775153757
2020,14,LEBLANC,LIBERTARIAN,821.1240948466505
2020,14,NEHLS,REPUBLICAN,11859.044983765867
2020,14,SOSA,LIBERTARIAN,94.29955372281844
2020,14,TEAGUE,REPUBLICAN,1624.7674611106756
2020,18,GREEN,DEMOCRAT,35058.046901747046
2020,18,KULKARNI,DEMOCRAT,9215.340167272878
2020,18,LEBLANC,LIBERTARIAN,554.4050665418584
2020,18,NEHLS,REPUBLICAN,5182.574074041025
2020,18,SOSA,LIBERTARIAN,1058.7004462771815
2020,18,TEAGUE,REPUBLICAN,6806.232538889325
2020,22,GREEN,DEMOCRAT,1159.418626977985
2020,22,KULKARNI,DEMOCRAT,73402.15925310769
2020,22,LEBLANC,LIBERTARIAN,6063.68119617228
2020,22,NEHLS,REPUBLICAN,106344.8855429656
2020,22,SOSA,LIBERTARIAN,49.15998072970148
2020,22,TEAGUE,REPUBLICAN,526.2245970133082
2020,27,KULKARNI,DEMOCRAT,80.97280221839299
2020,27,LEBLANC,LIBERTARIAN,9.372288724114247
2020,27,NEHLS,REPUBLICAN,124.03677445353466
2020,36,KULKARNI,DEMOCRAT,202.12860310421286
2020,36,LEBLANC,LIBERTARIAN,10.96452328159645
2020,36,NEHLS,REPUBLICAN,70.55432372505543
2022,7,FLETCHER,DEMOCRAT,22766.089616719124
2022,7,JORDAN,DEMOCRAT,2312.9490012874317
2022,7,LEBLANC,LIBERTARIAN,127.95949307462321
2022,7,NEHLS,REPUBLICAN,3630.5356930699395
2022,7,SQUIRES,OTHER,7.304841328399393
2022,7,TEAGUE,REPUBLICAN,13056.324799831835
2022,8,FLETCHER,DEMOCRAT,263.0403030179894
2022,8,JORDAN,DEMOCRAT,405.44184180861345
2022,8,LEBLANC,LIBERTARIAN,23.645222080283467
2022,8,NEHLS,REPUBLICAN,841.8452222832997
2022,8,SQUIRES,OTHER,1.53744068781097
2022,8,TEAGUE,REPUBLICAN,118.59054757601184
2022,14,GREEN,DEMOCRAT,3327.1815849854174
2022,14,JORDAN,DEMOCRAT,9337.771828584557
2022,14,LEBLANC,LIBERTARIAN,415.22300729620764
2022,14,LEON,REPUBLICAN,1295.0032551629538
2022,14,NEHLS,REPUBLICAN,9197.071690006833
2022,14,SQUIRES,OTHER,24.679092444616348
2022,18,GREEN,DEMOCRAT,28462.562067718856
2022,18,JORDAN,DEMOCRAT,1797.3329771703802
2022,18,LEBLANC,LIBERTARIAN,94.84960521299944
2022,18,LEON,REPUBLICAN,6375.752626659071
2022,18,NEHLS,REPUBLICAN,2244.337603276689
2022,18,SQUIRES,OTHER,5.5283117741096195
2022,22,FLETCHER,DEMOCRAT,7627.870080262888
2022,22,GREEN,DEMOCRAT,605.5667685817534
2022,22,JORDAN,DEMOCRAT,44480.37654690806
2022,22,LEBLANC,LIBERTARIAN,2697.7340612572702
2022,22,LEON,REPUBLICAN,273.00243303385093
2022,22,NEHLS,REPUBLICAN,78863.73892578734
2022,22,SQUIRES,OTHER,158.78403346104872
2022,22,TEAGUE,REPUBLICAN,5774.084652592154
2022,27,JORDAN,DEMOCRAT,58.127804240949665
2022,27,LEBLANC,LIBERTARIAN,1.5886110786148822
2022,27,NEHLS,REPUBLICAN,97.47086557588932
2022,27,SQUIRES,OTHER,0.16628030401492058
2022,36,GREEN,DEMOCRAT,149.68957871396896
2022,36,LEON,REPUBLICAN,46.24168514412417
2024,7,FLETCHER,DEMOCRAT,30615.977076264688
2024,7,GREENE SCOTT,DEMOCRAT,3390.0997185021924
2024,7,KANE,REPUBLICAN,21305.802573493605
2024,7,NEHLS,REPUBLICAN,4983.510080368215
2024,8,FLETCHER,DEMOCRAT,349.2730459387585
2024,8,GREENE SCOTT,DEMOCRAT,714.0303390099439
2024,8,KANE,REPUBLICAN,204.11649548151632
2024,8,NEHLS,REPUBLICAN,1343.3728762771973
2024,14,GREEN,DEMOCRAT,6097.8433768263485
2024,14,GREENE SCOTT,DEMOCRAT,13206.487552649709
2024,14,NEHLS,REPUBLICAN,13694.131972758472
2024,18,GREEN,DEMOCRAT,38419.85970789622
2024,18,GREENE SCOTT,DEMOCRAT,2324.771469476251
2024,18,NEHLS,REPUBLICAN,2732.506284075343
2024,22,FLETCHER,DEMOCRAT,10078.749877796552
2024,22,GREEN,DEMOCRAT,869.6405959869738
2024,22,GREENE SCOTT,DEMOCRAT,66011.14308623946
2024,22,KANE,REPUBLICAN,8479.080931024886
2024,22,NEHLS,REPUBLICAN,108178.80181943341
2024,27,GREENE SCOTT,DEMOCRAT,73.46783412245684
2024,27,NEHLS,REPUBLICAN,130.67696708737606
2024,36,GREEN,DEMOCRAT,205.65631929046563
