old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1571004,22,8947,8947,1.0
1571005,22,6415,6415,1.0
1571006,8,2119,27972,0.07575432575432575
1571006,22,25853,27972,0.9242456742456743
1571008,22,2063,2363,0.8730427422767668
1571008,27,300,2363,0.12695725772323319
1571013,22,11299,11299,1.0
1571014,8,972,22669,0.042877939035687505
1571014,22,21697,22669,0.9571220609643125
1571019,8,130,2815,0.046181172291296625
1571019,22,2685,2815,0.9538188277087034
1571019,27,0,2815,0.0
1571038,7,0,12580,0.0
1571038,22,12580,12580,1.0
1571041,7,125,5968,0.020945040214477212
1571041,22,5843,5968,0.9790549597855228
1571054,22,5097,5097,1.0
1571057,22,10949,10949,1.0
1571063,7,4219,13712,0.3076866977829638
1571063,22,9493,13712,0.6923133022170361
1571103,7,125,11599,0.010776791102681265
1571103,22,11474,11599,0.9892232088973187
1571104,7,4053,17204,0.23558474773308533
1571104,22,13151,17204,0.7644152522669146
1571122,22,6017,6017,1.0
1571130,22,10933,10933,1.0
1571132,7,0,9553,0.0
1571132,22,9553,9553,1.0
1571133,22,8568,8568,1.0
1571142,22,11313,11313,1.0
1571143,22,19686,19686,1.0
1571144,22,13285,13285,1.0
1571145,22,8353,8353,1.0
1571146,22,18716,18716,1.0
1571148,8,2454,30807,0.07965722076151524
1571148,22,28353,30807,0.9203427792384847
1571149,22,7278,7278,1.0
1571156,22,6437,6437,1.0
1571159,22,12823,12823,1.0
1571160,7,57,6633,0.008593396653098146
1571160,8,39,6633,0.005879692446856626
1571160,22,6537,6633,0.9855269109000452
1571165,22,6324,6324,1.0
1572003,14,3605,11584,0.3112051104972376
1572003,18,7979,11584,0.6887948895027625
1572007,7,2237,23131,0.09671004279970602
1572007,22,20894,23131,0.9032899572002939
1572009,18,4184,10537,0.3970769668786182
1572009,22,6353,10537,0.6029230331213818
1572010,22,7907,7907,1.0
1572017,18,8288,8288,1.0
1572018,22,6071,6071,1.0
1572021,14,0,1954,0.0
1572021,22,1954,1954,1.0
1572023,18,8658,8658,1.0
1572028,14,3197,9927,0.322050972096303
1572028,18,6730,9927,0.677949027903697
1572030,14,7379,13638,0.5410617392579558
1572030,18,6259,13638,0.4589382607420443
1572031,18,7220,7220,1.0
1572033,14,496,3754,0.1321257325519446
1572033,18,3258,3754,0.8678742674480554
1572034,14,244,9068,0.02690780767534186
1572034,18,8824,9068,0.9730921923246582
1572036,18,2076,2076,1.0
1572050,18,6242,6242,1.0
1572051,18,6773,6773,1.0
1572052,18,5722,5722,1.0
1572055,18,4197,4197,1.0
1572056,18,2718,2718,1.0
1572058,14,4627,4627,1.0
1572058,22,0,4627,0.0
1572059,18,4746,4746,1.0
1572061,14,11517,11804,0.9756862080650627
1572061,18,287,11804,0.02431379193493731
1572061,22,0,11804,0.0
1572068,22,1481,1481,1.0
1572068,27,0,1481,0.0
1572070,18,3407,3407,1.0
1572070,22,0,3407,0.0
1572075,18,5049,5049,1.0
1572077,18,5367,5367,1.0
1572081,18,4270,4270,1.0
1572085,7,1441,7479,0.1926728172215537
1572085,22,6038,7479,0.8073271827784463
1572087,22,4882,4882,1.0
1572088,18,5438,5438,1.0
1572089,18,3611,3611,1.0
1572090,14,1902,6057,0.3140168400198118
1572090,18,4155,6057,0.6859831599801882
1572091,14,1143,5198,0.2198922662562524
1572091,18,4055,5198,0.7801077337437476
1572094,14,456,721,0.6324549237170597
1572094,18,265,721,0.36754507628294036
1572097,14,9900,9900,1.0
1572108,14,3174,17760,0.17871621621621622
1572108,18,14586,17760,0.8212837837837837
1572109,14,5621,6398,0.8785557986870897
1572109,18,777,6398,0.12144420131291028
1572114,14,177,11074,0.015983384504244174
1572114,18,10897,11074,0.9840166154957558
1572115,18,6572,6572,1.0
1572116,18,5045,5045,1.0
1572118,14,14225,14225,1.0
1572118,22,0,14225,0.0
1572120,7,908,6880,0.13197674418604652
1572120,22,5972,6880,0.8680232558139535
1572123,18,7287,7287,1.0
1572128,7,798,8609,0.09269369264722964
1572128,22,7811,8609,0.9073063073527704
1572134,14,29,13530,0.0021433850702143385
1572134,18,12211,13530,0.9025129342202513
1572134,36,1290,13530,0.09534368070953436
1572136,18,3520,3520,1.0
1572151,14,5454,8081,0.6749164707338201
1572151,18,2627,8081,0.32508352926617995
1572152,7,822,5875,0.13991489361702128
1572152,14,0,5875,0.0
1572152,22,5053,5875,0.8600851063829787
1572153,14,286,5203,0.05496828752642706
1572153,18,4917,5203,0.945031712473573
