year,new_district_id,candidate,party,estimated_votes
2016,5,Flores,REPUBLICAN,18.991448386515604
2016,5,Matta,DEMOCRAT,5.980339038418317
2016,5,Patterson,LIBERTARIAN,0.6241978746361073
2016,6,Flores,REPUBLICAN,144.21724927235937
2016,6,Matta,DEMOCRAT,23.363258781614594
2016,6,Patterson,LIBERTARIAN,4.887851612302565
2016,10,Flores,REPUBLICAN,69.21068563675479
2016,10,Matta,DEMOCRAT,19.672081220266186
2016,10,Patterson,LIBERTARIAN,1.6722657920242945
2016,17,Flores,REPUBLICAN,5636.58061670437
2016,17,Matta,DEMOCRAT,1307.9843209597009
2016,17,Patterson,LIBERTARIAN,155.81568472103703
2018,5,CHURCHMAN,LIBERTARIAN,0.2579656743876775
2018,5,FLORES,REPUBLICAN,15.85625053793746
2018,5,KENNEDY,DEMOCRAT,5.984303303707177
2018,6,CHURCHMAN,LIBERTARIAN,0.8492744590338552
2018,6,FLORES,REPUBLICAN,130.89088374855586
2018,6,KENNEDY,DEMOCRAT,24.343455252504082
2018,10,CHURCHMAN,LIBERTARIAN,1.0505761893010992
2018,10,FLORES,REPUBLICAN,57.530373192286504
2018,10,KENNEDY,DEMOCRAT,16.478325810170247
2018,17,CHURCHMAN,LIBERTARIAN,56.84218367727736
2018,17,FLORES,REPUBLICAN,5043.7224925212195
2018,17,KENNEDY,DEMOCRAT,1257.1939156336184
2020,5,BROWN,LIBERTARIAN,0.6524283255627081
2020,5,KENNEDY,DEMOCRAT,7.113538726837566
2020,5,SESSIONS,REPUBLICAN,20.92520050356326
2020,6,BROWN,LIBERTARIAN,3.1714444579084624
2020,6,KENNEDY,DEMOCRAT,31.825135454400804
2020,6,SESSIONS,REPUBLICAN,170.26799642321984
2020,10,BROWN,LIBERTARIAN,2.051816876134491
2020,10,KENNEDY,DEMOCRAT,19.69299430733949
2020,10,SESSIONS,REPUBLICAN,78.48018379211142
2020,17,BROWN,LIBERTARIAN,141.12431034039435
2020,17,KENNEDY,DEMOCRAT,1450.3683315114217
2020,17,SESSIONS,REPUBLICAN,6629.326619281106
2022,5,ELLZEY,REPUBLICAN,7.367975138916927
2022,5,SESSIONS,REPUBLICAN,6.278008298755187
2022,5,WOODS,DEMOCRAT,3.479944674965422
2022,6,ELLZEY,REPUBLICAN,140.76208716739598
2022,6,SESSIONS,REPUBLICAN,10.36005171299289
2022,6,WOODS,DEMOCRAT,2.1266968325791855
2022,10,SESSIONS,REPUBLICAN,68.2416690968789
2022,10,WOODS,DEMOCRAT,13.69074197196678
2022,17,ELLZEY,REPUBLICAN,2797.869937693687
2022,17,SESSIONS,REPUBLICAN,2540.120270891373
2022,17,WOODS,DEMOCRAT,525.7026165204886
2024,5,ELLZEY,REPUBLICAN,10.736982416496511
2024,5,LORENZEN,DEMOCRAT,3.809128630705394
2024,5,LOVE,DEMOCRAT,1.7679608031745462
2024,5,SESSIONS,REPUBLICAN,7.665283540802212
2024,6,ELLZEY,REPUBLICAN,192.49277744095232
2024,6,LORENZEN,DEMOCRAT,0.18228829993535875
2024,6,LOVE,DEMOCRAT,28.065187434304352
2024,6,SESSIONS,REPUBLICAN,1.6659151465464235
2024,10,ELLZEY,REPUBLICAN,1.5352697095435683
2024,10,LORENZEN,DEMOCRAT,15.98221575416402
2024,10,LOVE,DEMOCRAT,0.7676348547717842
2024,10,SESSIONS,REPUBLICAN,88.26953449066254
2024,17,ELLZEY,REPUBLICAN,4428.234970433008
2024,17,LORENZEN,DEMOCRAT,555.0263673151952
2024,17,LOVE,DEMOCRAT,769.3992169077492
2024,17,SESSIONS,REPUBLICAN,2645.399266821989
