old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1610001,5,30,6323,0.004744583267436343
1610001,6,26,6323,0.004111972165111498
1610001,17,6267,6323,0.9911434445674522
1610002,6,14,4921,0.002844950213371266
1610002,17,4907,4921,0.9971550497866287
1610003,10,1,327,0.0030581039755351682
1610003,17,326,327,0.9969418960244648
1610004,17,933,933,1.0
1610005,17,5845,5845,1.0
1610006,6,8,1409,0.0056777856635912
1610006,17,1401,1409,0.9943222143364088
1610007,6,47,1547,0.030381383322559793
1610007,17,1500,1547,0.9696186166774402
1610008,5,6,1289,0.004654771140418929
1610008,6,433,1289,0.3359193173002327
1610008,17,850,1289,0.6594259115593484
1610009,17,3656,3656,1.0
1610010,10,1,842,0.0011876484560570072
1610010,17,841,842,0.998812351543943
1610011,5,33,1377,0.023965141612200435
1610011,10,59,1377,0.042846768336964415
1610011,17,1285,1377,0.9331880900508351
1610012,5,34,703,0.04836415362731152
1610012,10,24,703,0.034139402560455195
1610012,17,645,703,0.9174964438122333
1610013,10,64,983,0.06510681586978637
1610013,17,919,983,0.9348931841302136
1610014,10,180,1070,0.16822429906542055
1610014,17,890,1070,0.8317757009345794
1610015,6,89,748,0.11898395721925134
1610015,17,659,748,0.8810160427807486
