year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,223.76767066759712
2016,23,Gallego,DEMOCRAT,2226.5054276610044
2016,23,Hurd,REPUBLICAN,1660.2623761710188
2016,28,Corvalan,LIBERTARIAN,7.232329332402906
2016,28,Gallego,DEMOCRAT,64.49457233899568
2016,28,Hurd,REPUBLICAN,103.7376238289813
2018,23,CORVALAN,LIBERTARIAN,80.34156373577565
2018,23,HURD,REPUBLICAN,1491.6632166328138
2018,23,ORTIZ JONES,DEMOCRAT,1922.3615071239574
2018,28,CORVALAN,LIBERTARIAN,3.6584362642243464
2018,28,HURD,REPUBLICAN,94.33678336718606
2018,28,ORTIZ JONES,DEMOCRAT,66.63849287604268
2020,23,GONZALES,REPUBLICAN,2341.718484949432
2020,23,ORTIZ JONES,DEMOCRAT,2410.782359764294
2020,23,VILLELA,LIBERTARIAN,127.13020657563355
2020,28,GONZALES,REPUBLICAN,128.2815150505682
2020,28,ORTIZ JONES,DEMOCRAT,72.2176402357058
2020,28,VILLELA,LIBERTARIAN,3.869793424366448
2022,23,GONZALES,REPUBLICAN,1784.7233797246442
2022,23,LIRA,DEMOCRAT,1411.0903795872268
2022,23,LOPEZ,OTHER,172.83003421214622
2022,28,GONZALES,REPUBLICAN,102.27662027535592
2022,28,LIRA,DEMOCRAT,42.909620412773094
2022,28,LOPEZ,OTHER,6.169965787853787
2024,23,GONZALES,REPUBLICAN,2815.5945655712912
2024,23,LIMON,DEMOCRAT,1534.440204407618
2024,28,GONZALES,REPUBLICAN,145.40543442870876
2024,28,LIMON,DEMOCRAT,50.559795592381974
