year,new_district_id,candidate,party,estimated_votes
2016,14,Cole,DEMOCRAT,41555.05090419758
2016,14,Weber,REPUBLICAN,76166.35654879367
2016,22,Cole,DEMOCRAT,26.409973358296917
2016,22,Weber,REPUBLICAN,127.57002633553441
2016,36,Cole,DEMOCRAT,762.539122444123
2016,36,Weber,REPUBLICAN,2472.0734248707686
2018,14,BELL,DEMOCRAT,41364.679815334035
2018,14,CONLEY,LIBERTARIAN,1928.8548929849628
2018,14,WEBER,REPUBLICAN,66604.3887624983
2018,22,BELL,DEMOCRAT,21.519234152643712
2018,22,CONLEY,LIBERTARIAN,1.3481988096951163
2018,22,WEBER,REPUBLICAN,116.26292813853294
2018,36,BELL,DEMOCRAT,800.8009505133259
2018,36,CONLEY,LIBERTARIAN,53.79690820534139
2018,36,WEBER,REPUBLICAN,2090.3483093631544
2020,14,BELL,DEMOCRAT,54557.4648507566
2020,14,WEBER,REPUBLICAN,94118.02175162206
2020,22,BELL,DEMOCRAT,29.62103432868373
2020,22,WEBER,REPUBLICAN,164.8326768037481
2020,36,BELL,DEMOCRAT,1084.9141149147176
2020,36,WEBER,REPUBLICAN,2850.145571574166
2022,14,WEBER,REPUBLICAN,69143.79447629269
2022,14,WILLIAMS,DEMOCRAT,38201.389410502605
2022,22,WEBER,REPUBLICAN,142.04390744529033
2022,22,WILLIAMS,DEMOCRAT,25.774653041310586
2022,36,WEBER,REPUBLICAN,1971.1616162620173
2022,36,WILLIAMS,DEMOCRAT,770.8359364560857
2024,14,HART,DEMOCRAT,52496.56201323027
2024,14,WEBER,REPUBLICAN,100193.89158268238
2024,22,HART,DEMOCRAT,34.14208958316766
2024,22,WEBER,REPUBLICAN,202.75336087070548
2024,36,HART,DEMOCRAT,1044.295897186547
2024,36,WEBER,REPUBLICAN,2726.355056446931
