old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1670103,14,1702,1702,1.0
1670103,36,0,1702,0.0
1670104,14,1830,1830,1.0
1670104,36,0,1830,0.0
1670105,14,1091,1091,1.0
1670142,14,6543,6543,1.0
1670144,14,6232,6232,1.0
1670146,14,6434,6434,1.0
1670148,14,9638,9638,1.0
1670150,14,5570,5570,1.0
1670151,14,7692,8023,0.9587436121151689
1670151,36,331,8023,0.04125638788483111
1670152,14,10256,10256,1.0
1670159,14,9819,10134,0.9689165186500888
1670159,36,315,10134,0.03108348134991119
1670165,14,10895,10967,0.9934348500045591
1670165,36,72,10967,0.006565149995440868
1670166,14,6899,7131,0.9674659935492919
1670166,36,232,7131,0.032534006450708176
1670167,14,11684,12775,0.9145988258317025
1670167,36,1091,12775,0.08540117416829746
1670168,14,912,921,0.990228013029316
1670168,36,9,921,0.009771986970684038
1670169,14,724,724,1.0
1670170,14,7545,7545,1.0
1670172,14,4562,4562,1.0
1670192,14,3941,3941,1.0
1670193,14,7072,7072,1.0
1670197,14,3847,3847,1.0
1670218,14,6384,6384,1.0
1670219,14,10034,10034,1.0
1670220,14,16473,16473,1.0
1670221,14,3919,3919,1.0
1670221,22,0,3919,0.0
1670223,14,8493,8493,1.0
1670224,14,7327,7327,1.0
1670225,14,4200,4200,1.0
1670226,14,7402,7411,0.9987855889893402
1670226,22,9,7411,0.0012144110106598299
1670227,14,8790,8790,1.0
1670228,14,7846,7846,1.0
1670232,14,5638,5638,1.0
1670258,14,5263,5902,0.8917316164012199
1670258,22,639,5902,0.10826838359878008
1670263,14,17410,18442,0.9440407764884503
1670263,36,1032,18442,0.05595922351154972
1670274,14,1460,1460,1.0
1670275,14,694,694,1.0
1670276,14,4240,4240,1.0
1670277,14,5818,5818,1.0
1670278,14,6861,6870,0.9986899563318777
1670278,22,9,6870,0.0013100436681222707
1670279,14,3212,3212,1.0
1670280,14,4545,4545,1.0
1670281,14,544,544,1.0
1670283,14,9755,9755,1.0
1670301,14,4698,4698,1.0
1670306,14,9349,9349,1.0
1670309,14,3893,3893,1.0
1670311,14,6385,6385,1.0
1670312,14,1835,1835,1.0
1670314,14,7969,7969,1.0
1670315,14,7625,7625,1.0
1670316,14,8200,8200,1.0
1670330,14,6944,6944,1.0
1670331,14,6655,6655,1.0
1670334,14,3430,3430,1.0
1670336,14,8973,8973,1.0
1670338,14,11658,11658,1.0
1670340,14,2082,2082,1.0
1670341,14,8794,8794,1.0
1670343,14,7133,7133,1.0
1670345,14,2609,2609,1.0
1670347,14,5242,5242,1.0
1670389,14,2500,2500,1.0
1670391,14,1858,1858,1.0
1670394,14,669,669,1.0
1670398,14,2144,2144,1.0
1670399,14,3415,3415,1.0
1670401,14,2136,2136,1.0
1670439,14,6387,6387,1.0
1670453,14,10962,11245,0.9748332592263228
1670453,36,283,11245,0.025166740773677188
1670454,14,9083,9734,0.9331210191082803
1670454,36,651,9734,0.06687898089171974
1670455,14,4921,5265,0.9346628679962014
1670455,36,344,5265,0.06533713200379868
1670456,14,9455,12261,0.7711442786069652
1670456,36,2806,12261,0.22885572139303484
1670457,14,7091,8294,0.8549553894381481
1670457,36,1203,8294,0.14504461056185194
1670460,14,11254,11709,0.9611410026475361
1670460,36,455,11709,0.03885899735246392
1670461,14,6912,6912,1.0
1670462,14,10275,10838,0.9480531463369626
1670462,36,563,10838,0.05194685366303746
1670464,14,8436,11003,0.7666999909115696
1670464,36,2567,11003,0.23330000908843043
1670471,14,5839,5839,1.0
1670482,14,2124,2124,1.0
1670487,14,14011,14011,1.0
1670488,14,9425,11011,0.8559622195985832
1670488,36,1586,11011,0.14403778040141677
1670490,14,12941,12941,1.0
1671051,14,1945,1945,1.0
1671651,14,1494,1494,1.0
1672321,14,593,593,1.0
1672322,14,762,762,1.0
1672323,14,513,513,1.0
1672801,14,1868,1868,1.0
1673061,14,654,654,1.0
1673301,14,0,0,
1673311,14,1093,1093,1.0
1674391,14,1355,1355,1.0
