old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1710001,21,6411,6411,1.0
1710002,21,2637,2637,1.0
1710003,21,3418,3418,1.0
1710004,21,5147,5147,1.0
1710005,11,87,2888,0.03012465373961219
1710005,21,2801,2888,0.9698753462603878
1710006,21,1188,1188,1.0
1710007,21,5664,5664,1.0
1710008,11,73,1304,0.05598159509202454
1710008,21,1231,1304,0.9440184049079755
1710009,11,30,396,0.07575757575757576
1710009,21,366,396,0.9242424242424242
1710010,21,3130,3130,1.0
1710012,11,100,6554,0.015257857796765334
1710012,21,6454,6554,0.9847421422032346
1710013,11,71,4405,0.01611804767309875
1710013,21,4334,4405,0.9838819523269012
1710015,21,1381,1381,1.0
