year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,529.8953010636137
2016,11,Landholt,LIBERTARIAN,23.711768409063385
2016,19,Conaway,REPUBLICAN,10.026737967914439
2016,19,Landholt,LIBERTARIAN,0.24064171122994654
2016,23,Conaway,REPUBLICAN,24.077960968471917
2016,23,Landholt,LIBERTARIAN,1.047589879706668
2018,11,CONAWAY,REPUBLICAN,492.2462760511279
2018,11,LEEDER,DEMOCRAT,26.603243686326554
2018,11,SMITH,LIBERTARIAN,1.842929576506219
2018,19,CONAWAY,REPUBLICAN,8.983957219251337
2018,19,LEEDER,DEMOCRAT,0.40106951871657753
2018,19,SMITH,LIBERTARIAN,0.0
2018,23,CONAWAY,REPUBLICAN,22.769766729620745
2018,23,LEEDER,DEMOCRAT,0.995686794956868
2018,23,SMITH,LIBERTARIAN,0.15707042349378114
2020,11,CODY,LIBERTARIAN,4.732826777957262
2020,11,HOGG,DEMOCRAT,30.383607135633333
2020,11,PFLUGER,REPUBLICAN,574.7009878980111
2020,19,CODY,LIBERTARIAN,0.16172506738544473
2020,19,HOGG,DEMOCRAT,0.5660377358490566
2020,19,PFLUGER,REPUBLICAN,11.563342318059298
2020,23,CODY,LIBERTARIAN,0.1054481546572935
2020,23,HOGG,DEMOCRAT,1.050355128517611
2020,23,PFLUGER,REPUBLICAN,25.73566978392963
2022,11,PFLUGER,REPUBLICAN,504.21802635830454
2022,19,PFLUGER,REPUBLICAN,9.361702127659575
2022,23,PFLUGER,REPUBLICAN,23.420271514035896
2024,11,PFLUGER,REPUBLICAN,583.7201616563846
2024,19,PFLUGER,REPUBLICAN,11.347517730496454
2024,23,PFLUGER,REPUBLICAN,25.93232061311905
