year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,REPUBLICAN,2275.3932762709405
2016,15,Vela,DEMOCRAT,1050.6552925315864
2016,27,Gonzalez,REPUBLICAN,130.21720975281465
2016,27,Vela,DEMOCRAT,23.70221482733816
2016,35,Gonzalez,REPUBLICAN,14.389513976244865
2016,35,Vela,DEMOCRAT,5.642492641075712
2018,15,GONZALEZ,REPUBLICAN,2065.7853754306398
2018,15,VELA,DEMOCRAT,750.99933375898
2018,27,GONZALEZ,REPUBLICAN,127.12196167667727
2018,27,VELA,DEMOCRAT,17.34837620296772
2018,35,GONZALEZ,REPUBLICAN,13.092662892682807
2018,35,VELA,DEMOCRAT,3.652290038052298
2020,15,CRISTO,LIBERTARIAN,35.44585417839541
2020,15,GONZALEZ,REPUBLICAN,2756.010336104259
2020,15,ROYAL,OTHER,46.647412226473456
2020,15,VELA,DEMOCRAT,824.7111988116615
2020,27,CRISTO,LIBERTARIAN,1.3431137885592879
2020,27,GONZALEZ,REPUBLICAN,165.208607180297
2020,27,ROYAL,OTHER,3.155856046916372
2020,27,VELA,DEMOCRAT,21.276499389285668
2020,35,CRISTO,LIBERTARIAN,0.21103203304530635
2020,35,GONZALEZ,REPUBLICAN,16.781056715444365
2020,35,ROYAL,OTHER,0.19673172661016844
2020,35,VELA,DEMOCRAT,4.012301799052901
2022,15,CLOUD,REPUBLICAN,2406.5385535593196
2022,15,PEREZ,DEMOCRAT,680.4272502740763
2022,27,CLOUD,REPUBLICAN,150.50144080302397
2022,27,PEREZ,DEMOCRAT,15.431883574817991
2022,35,CLOUD,REPUBLICAN,13.960005637656433
2022,35,PEREZ,DEMOCRAT,3.1408661511056706
2024,15,CLOUD,REPUBLICAN,2929.7438254468148
2024,15,LLOYD,DEMOCRAT,702.5263824375213
2024,27,CLOUD,REPUBLICAN,179.22933291655266
2024,27,LLOYD,DEMOCRAT,19.05736809153216
2024,35,CLOUD,REPUBLICAN,17.026841636632074
2024,35,LLOYD,DEMOCRAT,3.4162494709465183
