old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1750011,15,1798,1798,1.0
1750011,27,0,1798,0.0
1750012,15,753,879,0.856655290102389
1750012,27,126,879,0.14334470989761092
1750021,15,2122,2129,0.9967120713950212
1750021,35,7,2129,0.0032879286049788633
1750022,15,483,493,0.9797160243407708
1750022,35,10,493,0.02028397565922921
1750031,15,1919,1944,0.9871399176954733
1750031,35,25,1944,0.01286008230452675
1750032,15,1386,1412,0.9815864022662889
1750032,35,26,1412,0.018413597733711047
1750041,15,1095,1236,0.8859223300970874
1750041,27,141,1236,0.11407766990291263
1750042,15,1122,1444,0.7770083102493075
1750042,27,322,1444,0.22299168975069253
1750043,15,979,979,1.0
1750043,27,0,979,0.0
