year,new_district_id,candidate,party,estimated_votes
2016,15,Barrera,DEMOCRAT,1139.078604026358
2016,15,Farenthold,REPUBLICAN,3116.729696538707
2016,15,Gonzalez,REPUBLICAN,1299.0432749883498
2016,15,Vela,DEMOCRAT,339.6167225716024
2016,27,Barrera,DEMOCRAT,25.935520267427258
2016,27,Farenthold,REPUBLICAN,61.247704591236655
2016,35,Barrera,DEMOCRAT,1.9858757062146892
2016,35,Farenthold,REPUBLICAN,12.022598870056497
2016,35,Gonzalez,REPUBLICAN,87.95672501165029
2016,35,Vela,DEMOCRAT,27.38327742839764
2018,15,CLOUD,REPUBLICAN,2848.927358878728
2018,15,DUERR,OTHER,36.19077035061407
2018,15,GONZALEZ,REPUBLICAN,1176.614529087219
2018,15,HOLGUIN,DEMOCRAT,968.2322941327277
2018,15,TINUS,LIBERTARIAN,29.468968234397497
2018,15,VELA,DEMOCRAT,292.13054624247513
2018,27,CLOUD,REPUBLICAN,57.26473151675228
2018,27,DUERR,OTHER,0.7555573330017504
2018,27,HOLGUIN,DEMOCRAT,22.942847110210124
2018,27,TINUS,LIBERTARIAN,0.4236871328341426
2018,35,CLOUD,REPUBLICAN,11.807909604519773
2018,35,DUERR,OTHER,0.05367231638418079
2018,35,GONZALEZ,REPUBLICAN,79.3854709127811
2018,35,HOLGUIN,DEMOCRAT,1.8248587570621468
2018,35,TINUS,LIBERTARIAN,0.10734463276836158
2018,35,VELA,DEMOCRAT,23.869453757524873
2020,15,CLOUD,REPUBLICAN,3815.67652008324
2020,15,CRISTO,LIBERTARIAN,25.187643225134913
2020,15,DE LA FUENTE,DEMOCRAT,1310.923374294542
2020,15,GONZALEZ,REPUBLICAN,1594.8461074914037
2020,15,GRAY,LIBERTARIAN,66.70778481848278
2020,15,ROYAL,OTHER,21.033999909197703
2020,15,VELA,DEMOCRAT,372.55622168981495
2020,27,CLOUD,REPUBLICAN,75.67093754387827
2020,27,DE LA FUENTE,DEMOCRAT,29.01730367155961
2020,27,GRAY,LIBERTARIAN,1.1311982323646872
2020,35,CLOUD,REPUBLICAN,14.652542372881355
2020,35,CRISTO,LIBERTARIAN,1.812356774865085
2020,35,DE LA FUENTE,DEMOCRAT,3.059322033898305
2020,35,GONZALEZ,REPUBLICAN,109.15389250859627
2020,35,GRAY,LIBERTARIAN,0.16101694915254236
2020,35,ROYAL,OTHER,1.966000090802297
2020,35,VELA,DEMOCRAT,31.44377831018508
2022,15,CLOUD,REPUBLICAN,4234.227338995239
2022,15,PEREZ,DEMOCRAT,1013.5125513802667
2022,27,CLOUD,REPUBLICAN,67.2060390015161
2022,27,PEREZ,DEMOCRAT,20.468015166195485
2022,35,CLOUD,REPUBLICAN,100.56662200324504
2022,35,PEREZ,DEMOCRAT,22.019433453537744
2024,15,CLOUD,REPUBLICAN,5612.12596473334
2024,15,LLOYD,DEMOCRAT,1509.9075465500114
2024,27,CLOUD,REPUBLICAN,87.16014817381375
2024,27,LLOYD,DEMOCRAT,25.500753280145002
2024,35,CLOUD,REPUBLICAN,136.71388709284608
2024,35,LLOYD,DEMOCRAT,32.59170016984381
