old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1770001,15,6067,6067,1.0
1770002,15,4469,4469,1.0
1770003,15,4242,4242,1.0
1770005,15,1604,1785,0.8985994397759104
1770005,35,181,1785,0.10140056022408964
1770007,15,1224,1416,0.864406779661017
1770007,27,116,1416,0.08192090395480225
1770007,35,76,1416,0.05367231638418079
1770008,15,1132,1277,0.8864526233359437
1770008,27,145,1277,0.11354737666405638
1770009,15,2078,2242,0.9268510258697591
1770009,27,164,2242,0.07314897413024085
1770010,15,1024,1034,0.9903288201160542
1770010,35,10,1034,0.009671179883945842
1770011,15,491,491,1.0
1770012,15,929,929,1.0
1770013,15,1241,1278,0.9710485133020345
1770013,35,37,1278,0.028951486697965573
1770014,15,337,337,1.0
1770015,15,1045,1045,1.0
17704/6,15,3269,3714,0.8801830910070005
17704/6,35,445,3714,0.11981690899299946
