year,new_district_id,candidate,party,estimated_votes
2016,3,Ratcliffe,REPUBLICAN,247.32012978154668
2016,3,Wommack,LIBERTARIAN,26.124874919347405
2016,4,Ratcliffe,REPUBLICAN,36180.11813955431
2016,4,Wommack,LIBERTARIAN,5035.839687254786
2016,26,Ratcliffe,REPUBLICAN,234.56173066414328
2016,26,Wommack,LIBERTARIAN,21.03543782586641
2018,3,ASHBY,LIBERTARIAN,4.467451009309614
2018,3,KRANTZ,DEMOCRAT,49.87785639229423
2018,3,RATCLIFFE,REPUBLICAN,229.87684689833165
2018,4,ASHBY,LIBERTARIAN,623.9638571765165
2018,4,KRANTZ,DEMOCRAT,10089.25706738882
2018,4,RATCLIFFE,REPUBLICAN,31590.181846273532
2018,26,ASHBY,LIBERTARIAN,3.5686918141738833
2018,26,KRANTZ,DEMOCRAT,31.865076218886017
2018,26,RATCLIFFE,REPUBLICAN,217.94130682813733
2020,3,ANTONELLI,LIBERTARIAN,7.056357974939781
2020,3,FALLON,REPUBLICAN,352.4805375574101
2020,3,FOSTER,DEMOCRAT,74.33005207998644
2020,4,ANTONELLI,LIBERTARIAN,1071.625923991909
2020,4,FALLON,REPUBLICAN,43819.20453561721
2020,4,FOSTER,DEMOCRAT,12912.524686385908
2020,26,ANTONELLI,LIBERTARIAN,6.317718033150952
2020,26,FALLON,REPUBLICAN,303.31492682538834
2020,26,FOSTER,DEMOCRAT,44.14526153410682
2022,3,FALLON,REPUBLICAN,316.22575876805877
2022,3,OMERE,DEMOCRAT,63.929914576179726
2022,3,SIMMONS,LIBERTARIAN,8.194347437975564
2022,4,FALLON,REPUBLICAN,34282.10852944691
2022,4,OMERE,DEMOCRAT,8726.598236420738
2022,4,SIMMONS,LIBERTARIAN,966.2063288971258
2022,26,FALLON,REPUBLICAN,244.66571178502713
2022,26,OMERE,DEMOCRAT,31.471849003083584
2022,26,SIMMONS,LIBERTARIAN,4.599323664898824
2024,3,CARDELL,DEMOCRAT,108.1411413160065
2024,3,FALLON,REPUBLICAN,522.1842258442132
2024,4,CARDELL,DEMOCRAT,13151.509409861543
2024,4,FALLON,REPUBLICAN,49858.80514075008
2024,26,CARDELL,DEMOCRAT,49.34944882245048
2024,26,FALLON,REPUBLICAN,356.0106334056939
