old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1810101,4,6845,6845,1.0
1810102,4,5636,5636,1.0
1810103,4,5588,5588,1.0
1810104,4,3525,3525,1.0
1810105,3,179,1765,0.10141643059490085
1810105,4,1586,1765,0.8985835694050992
1810106,4,7045,7045,1.0
1810107,4,3462,3462,1.0
1810108,3,38,5484,0.006929248723559446
1810108,4,5446,5484,0.9930707512764405
1810109,3,606,8182,0.07406502077731605
1810109,4,7576,8182,0.925934979222684
1810201,4,9233,9233,1.0
1810202,4,9970,9970,1.0
1810203,4,4831,4831,1.0
1810204,4,415,415,1.0
1810205,4,7738,7738,1.0
1810206,4,4858,4858,1.0
1810207,3,234,1845,0.12682926829268293
1810207,4,1611,1845,0.8731707317073171
1810208,4,2569,2569,1.0
1810209,4,3983,3983,1.0
1810210,4,4222,4222,1.0
1810301,4,7838,7838,1.0
1810302,4,10782,10782,1.0
1810303,4,1338,1338,1.0
1810304,4,7338,7338,1.0
1810305,4,3232,3232,1.0
1810306,4,7374,7567,0.974494515660103
1810306,26,193,7567,0.02550548433989692
1810307,4,3847,3917,0.982129180495277
1810307,26,70,3917,0.017870819504723003
1810308,4,2029,2351,0.8630370055295619
1810308,26,322,2351,0.1369629944704381
1810309,4,2840,2848,0.9971910112359551
1810309,26,8,2848,0.0028089887640449437
1810310,4,605,605,1.0
1810401,4,3527,3527,1.0
1810402,4,7636,7636,1.0
1810403,4,5586,5586,1.0
1810404,4,6801,6801,1.0
1810405,4,2666,2666,1.0
1810406,4,4405,4674,0.9424475823705606
1810406,26,269,4674,0.057552417629439453
1810407,4,1333,1333,1.0
1810408,4,2557,2557,1.0
1810409,4,6532,6532,1.0
1810410,4,6771,6771,1.0
1810411,4,470,470,1.0
1810412,4,4375,4375,1.0
