year,new_district_id,candidate,party,estimated_votes
2016,1,Gohmert,REPUBLICAN,29244.716990651435
2016,1,Gray,LIBERTARIAN,820.0131073340946
2016,1,McKellar,DEMOCRAT,11153.708771547113
2016,32,Gohmert,REPUBLICAN,200.2830093485655
2016,32,Gray,LIBERTARIAN,4.98689266590533
2016,32,McKellar,DEMOCRAT,43.29122845288592
2018,1,CALLAWAY,LIBERTARIAN,505.0275261429466
2018,1,GOHMERT,REPUBLICAN,24641.326803749675
2018,1,MCKELLAR,DEMOCRAT,10522.980407965006
2018,32,CALLAWAY,LIBERTARIAN,2.9724738570534135
2018,32,GOHMERT,REPUBLICAN,170.67319625032894
2018,32,MCKELLAR,DEMOCRAT,41.019592034994204
2020,1,GILBERT,DEMOCRAT,14705.156714245386
2020,1,GOHMERT,REPUBLICAN,32460.891189745438
2020,32,GILBERT,DEMOCRAT,58.843285754614456
2020,32,GOHMERT,REPUBLICAN,231.10881025456501
2022,1,JEFFERSON,DEMOCRAT,8692.85990714772
2022,1,MORAN,REPUBLICAN,24184.124774259053
2022,32,JEFFERSON,DEMOCRAT,35.140092852280766
2022,32,MORAN,REPUBLICAN,165.87522574094587
2024,1,MORAN,REPUBLICAN,36521.402893147926
2024,32,MORAN,REPUBLICAN,244.59710685207693
