old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1830001,1,6075,6075,1.0
1830002,1,8477,8477,1.0
1830003,1,8110,8110,1.0
1830004,1,5183,5235,0.9900668576886342
1830004,32,52,5235,0.009933142311365807
1830005,1,9516,9845,0.9665820213306247
1830005,32,329,9845,0.03341797866937532
1830006,1,6704,6704,1.0
1830007,1,8173,8246,0.9911472228959496
1830007,32,73,8246,0.008852777104050448
1830008,1,11306,11306,1.0
1830009,1,8244,8244,1.0
1830010,1,13642,13642,1.0
1830011,1,11882,11882,1.0
1830012,1,9203,9381,0.9810254770280354
1830012,32,178,9381,0.01897452297196461
1830013,1,6047,6345,0.9530338849487786
1830013,32,298,6345,0.04696611505122143
1830014,1,8505,8505,1.0
1830015,1,4910,4910,1.0
1830016,1,8759,8759,1.0
1830017,1,4559,4559,1.0
1830018,1,5099,5099,1.0
1830019,1,8379,8379,1.0
1830020,1,9652,9652,1.0
1830021,1,9574,9574,1.0
