year,new_district_id,candidate,party,estimated_votes
2018,8,BRADY,REPUBLICAN,355.4690988526426
2018,8,DAVID,DEMOCRAT,81.70732518389309
2018,8,DUNCAN,LIBERTARIAN,8.31318655247879
2018,10,BRADY,REPUBLICAN,6205.530901147358
2018,10,DAVID,DEMOCRAT,1810.292674816107
2018,10,DUNCAN,LIBERTARIAN,129.68681344752122
2018,27,BRADY,REPUBLICAN,0.0
2018,27,DAVID,DEMOCRAT,0.0
2018,27,DUNCAN,LIBERTARIAN,0.0
2020,8,BRADY,REPUBLICAN,545.314381986127
2020,8,DUNCAN,LIBERTARIAN,13.68930623046142
2020,8,HERNANDEZ,DEMOCRAT,119.32834632152884
2020,10,BRADY,REPUBLICAN,8810.685618013875
2020,10,DUNCAN,LIBERTARIAN,190.31069376953857
2020,10,HERNANDEZ,DEMOCRAT,2518.6716536784716
2020,27,BRADY,REPUBLICAN,0.0
2020,27,DUNCAN,LIBERTARIAN,0.0
2020,27,HERNANDEZ,DEMOCRAT,0.0
2022,8,KELSEY,LIBERTARIAN,10.325620341995364
2022,8,MCCAUL,REPUBLICAN,431.9404650111922
2022,8,NUNO,DEMOCRAT,81.10540639988481
2022,10,KELSEY,LIBERTARIAN,137.67437965800465
2022,10,MCCAUL,REPUBLICAN,7162.059534988808
2022,10,NUNO,DEMOCRAT,1563.894593600115
2022,27,KELSEY,LIBERTARIAN,0.0
2022,27,MCCAUL,REPUBLICAN,0.0
2022,27,NUNO,DEMOCRAT,0.0
2024,8,BOISSEAU,DEMOCRAT,116.39383923266466
2024,8,MCCAUL,REPUBLICAN,640.389814103466
2024,8,MILLER,LIBERTARIAN,17.526360602580613
2024,10,BOISSEAU,DEMOCRAT,2328.6061607673355
2024,10,MCCAUL,REPUBLICAN,10396.610185896534
2024,10,MILLER,LIBERTARIAN,265.4736393974194
2024,27,BOISSEAU,DEMOCRAT,0.0
2024,27,MCCAUL,REPUBLICAN,0.0
2024,27,MILLER,LIBERTARIAN,0.0
