old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1850001,8,82,4138,0.019816336394393428
1850001,10,4056,4138,0.9801836636056066
1850002,10,1930,1930,1.0
1850003,10,5204,5204,1.0
1850004,8,518,3694,0.14022739577693558
1850004,10,3176,3694,0.8597726042230645
1850005,8,473,7959,0.05942957657997236
1850005,10,7486,7959,0.9405704234200276
1850005,27,0,7959,0.0
1850006,10,4630,4630,1.0
1850007,10,2239,2239,1.0
1850008,8,45,1336,0.033682634730538924
1850008,10,1291,1336,0.9663173652694611
1850009,8,81,1138,0.07117750439367311
1850009,10,1057,1138,0.9288224956063269
1850010,10,2830,2830,1.0
1850011,10,720,720,1.0
1850012,10,2388,2388,1.0
1850014,8,1159,5578,0.20778056651129437
1850014,10,4419,5578,0.7922194334887056
1850015,8,456,2387,0.19103477167993296
1850015,10,1931,2387,0.808965228320067
