year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,DEMOCRAT,15.869717628675357
2016,15,Leone,LIBERTARIAN,2.0947022061479217
2016,15,Tijerina,OTHER,1.0200173197266373
2016,15,Westley,REPUBLICAN,67.07191921003448
2016,21,Doggett,DEMOCRAT,202.3184812673049
2016,21,Gonzalez,DEMOCRAT,457.2049875170049
2016,21,Leone,LIBERTARIAN,49.115919334160175
2016,21,Narvaiz,REPUBLICAN,396.1482973305757
2016,21,Smith,LIBERTARIAN,21.285589040156346
2016,21,Tijerina,OTHER,25.28706877138197
2016,21,Trimble,OTHER,8.397630967261026
2016,21,Westley,REPUBLICAN,966.9212589074438
2016,27,Gonzalez,DEMOCRAT,4.854542830873115
2016,27,Leone,LIBERTARIAN,0.5762895065150406
2016,27,Tijerina,OTHER,0.3013264559652531
2016,27,Westley,REPUBLICAN,18.258236137227705
2016,35,Doggett,DEMOCRAT,3497.6815187326947
2016,35,Gonzalez,DEMOCRAT,12835.070752023448
2016,35,Leone,LIBERTARIAN,1274.2130889531768
2016,35,Narvaiz,REPUBLICAN,6714.851702669424
2016,35,Smith,LIBERTARIAN,317.7144109598437
2016,35,Tijerina,OTHER,716.3915874529262
2016,35,Trimble,OTHER,142.60236903273898
2016,35,Westley,REPUBLICAN,28423.748585745296
2018,15,CRISTO,LIBERTARIAN,1.4628294256011465
2018,15,GONZALEZ,DEMOCRAT,14.946736443743685
2018,15,WESTLEY,REPUBLICAN,59.87986619141204
2018,21,CRISTO,LIBERTARIAN,35.43665033639302
2018,21,DOGGETT,DEMOCRAT,256.7943797075211
2018,21,GONZALEZ,DEMOCRAT,574.2961280950643
2018,21,PATTERSON,LIBERTARIAN,17.681331651090236
2018,21,SMALLING,REPUBLICAN,345.9439077691316
2018,21,WESTLEY,REPUBLICAN,932.2391841961075
2018,27,CRISTO,LIBERTARIAN,0.38177174028980765
2018,27,GONZALEZ,DEMOCRAT,5.207520774817209
2018,27,WESTLEY,REPUBLICAN,17.454461006784875
2018,35,CRISTO,LIBERTARIAN,846.7187484977161
2018,35,DOGGETT,DEMOCRAT,3959.2056202924787
2018,35,GONZALEZ,DEMOCRAT,14220.549614686373
2018,35,PATTERSON,LIBERTARIAN,243.31866834890977
2018,35,SMALLING,REPUBLICAN,5605.056092230869
2018,35,WESTLEY,REPUBLICAN,26547.426488605695
2020,15,DE LA CRUZ HERNANDEZ,REPUBLICAN,82.18222992210177
2020,15,GONZALEZ,DEMOCRAT,22.534099286416186
2020,15,LEONE,LIBERTARIAN,2.2539690945664574
2020,21,DE LA CRUZ HERNANDEZ,REPUBLICAN,1516.2131086197473
2020,21,DOGGETT,DEMOCRAT,395.8591507677314
2020,21,GARCIA SHARON,REPUBLICAN,518.6216190754924
2020,21,GONZALEZ,DEMOCRAT,855.8912347815804
2020,21,LEONE,LIBERTARIAN,67.80713388571294
2020,21,LOEWE,LIBERTARIAN,25.12389548504043
2020,21,MATA,OTHER,11.249709429561122
2020,27,DE LA CRUZ HERNANDEZ,REPUBLICAN,23.380262690425372
2020,27,GONZALEZ,DEMOCRAT,6.678968422169481
2020,27,LEONE,LIBERTARIAN,0.6948562576125941
2020,35,DE LA CRUZ HERNANDEZ,REPUBLICAN,38240.22439876773
2020,35,DOGGETT,DEMOCRAT,5252.140849232269
2020,35,GARCIA SHARON,REPUBLICAN,7747.378380924507
2020,35,GONZALEZ,DEMOCRAT,19371.89569750983
2020,35,LEONE,LIBERTARIAN,1405.244040762108
2020,35,LOEWE,LIBERTARIAN,319.8761045149596
2020,35,MATA,OTHER,189.75029057043886
2022,15,DE LA CRUZ,REPUBLICAN,66.32954811962385
2022,15,LEONE,LIBERTARIAN,1.3715091007364482
2022,15,VALLEJO,DEMOCRAT,13.892291630415869
2022,21,CUELLAR,DEMOCRAT,687.0577911742582
2022,21,DE LA CRUZ,REPUBLICAN,473.7403299844358
2022,21,GARCIA,REPUBLICAN,1100.569457341778
2022,21,LEONE,LIBERTARIAN,14.05204001638553
2022,21,VALLEJO,DEMOCRAT,242.80042061494697
2022,27,DE LA CRUZ,REPUBLICAN,19.255038525821327
2022,27,LEONE,LIBERTARIAN,0.3723452710954258
2022,27,VALLEJO,DEMOCRAT,4.738767763166003
2022,35,CUELLAR,DEMOCRAT,12334.942208825742
2022,35,DE LA CRUZ,REPUBLICAN,14070.675083370117
2022,35,GARCIA,REPUBLICAN,21017.43054265822
2022,35,LEONE,LIBERTARIAN,418.20410561178255
2022,35,VALLEJO,DEMOCRAT,5568.568519991471
2024,15,DE LA CRUZ,REPUBLICAN,88.77434813710829
2024,15,VALLEJO,DEMOCRAT,21.51838934659461
2024,21,CUELLAR,DEMOCRAT,1003.9490139128548
2024,21,DE LA CRUZ,REPUBLICAN,810.6612682377023
2024,21,FURMAN,REPUBLICAN,1659.662686648877
2024,21,VALLEJO,DEMOCRAT,408.54558339171376
2024,27,DE LA CRUZ,REPUBLICAN,24.62439245270077
2024,27,VALLEJO,DEMOCRAT,6.637051932024793
2024,35,CUELLAR,DEMOCRAT,17813.050986087146
2024,35,DE LA CRUZ,REPUBLICAN,21243.939991172487
2024,35,FURMAN,REPUBLICAN,30447.337313351127
2024,35,VALLEJO,DEMOCRAT,8571.298975329668
