old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1870101,35,1465,1465,1.0
1870102,35,3107,3107,1.0
1870103,35,3838,3838,1.0
1870104,35,4058,4058,1.0
1870105,15,239,7389,0.0323453782649885
1870105,35,7150,7389,0.9676546217350115
1870106,35,8481,8481,1.0
1870107,27,42,3633,0.011560693641618497
1870107,35,3591,3633,0.9884393063583815
1870108,27,44,2948,0.014925373134328358
1870108,35,2904,2948,0.9850746268656716
1870109,15,150,1610,0.09316770186335403
1870109,27,47,1610,0.029192546583850933
1870109,35,1413,1610,0.877639751552795
1870110,35,2159,2159,1.0
1870111,35,815,815,1.0
1870112,35,1186,1186,1.0
1870113,21,877,4720,0.1858050847457627
1870113,35,3843,4720,0.8141949152542373
1870114,35,4220,4220,1.0
1870115,35,1326,1326,1.0
1870116,35,5751,5751,1.0
1870117,21,984,14108,0.0697476609016161
1870117,35,13124,14108,0.9302523390983839
1870118,35,1211,1211,1.0
1870119,35,5034,5034,1.0
1870120,35,3013,3013,1.0
1870121,35,1026,1026,1.0
1870122,35,382,382,1.0
1870123,35,1116,1116,1.0
1870124,35,338,338,1.0
1870125,35,346,346,1.0
1870126,35,294,294,1.0
1870127,35,239,239,1.0
1870201,35,3928,3928,1.0
1870202,35,3808,3808,1.0
1870203,35,4105,4105,1.0
1870204,35,5580,5580,1.0
1870205,21,96,3912,0.024539877300613498
1870205,35,3816,3912,0.9754601226993865
1870206,21,2098,8888,0.23604860486048604
1870206,27,0,8888,0.0
1870206,35,6790,8888,0.7639513951395139
1870207,35,4064,4064,1.0
1870208,21,997,12124,0.08223358627515671
1870208,35,11127,12124,0.9177664137248432
1870209,35,2970,2970,1.0
1870210,35,2428,2428,1.0
1870211,35,750,750,1.0
1870212,35,968,968,1.0
1870213,21,1764,9040,0.19513274336283185
1870213,35,7276,9040,0.8048672566371682
1870214,35,1830,1830,1.0
1870215,35,2635,2635,1.0
1870216,35,517,517,1.0
1870217,35,1009,1009,1.0
1870218,35,751,751,1.0
1870219,35,820,820,1.0
1870220,35,1037,1037,1.0
1870221,35,318,318,1.0
1870222,35,140,140,1.0
1870223,35,861,861,1.0
1870224,35,642,642,1.0
1870225,35,215,215,1.0
1870226,35,1185,1185,1.0
1870301,21,706,12546,0.05627291567033317
1870301,35,11840,12546,0.9437270843296668
1870302,35,14916,14916,1.0
1870303,35,5580,5580,1.0
1870304,35,10043,10043,1.0
1870305,21,25,9876,0.0025313892264074525
1870305,35,9851,9876,0.9974686107735925
1870306,35,9303,9303,1.0
1870307,35,8624,8624,1.0
1870308,21,22,6370,0.003453689167974882
1870308,35,6348,6370,0.9965463108320252
1870401,21,1267,9411,0.13462968866220382
1870401,35,8144,9411,0.8653703113377962
1870402,35,5633,5633,1.0
1870403,35,8589,8589,1.0
1870404,21,2446,9493,0.2576635415569367
1870404,35,7047,9493,0.7423364584430633
1870405,35,4327,4327,1.0
1870406,35,3695,3695,1.0
1870407,35,4352,4352,1.0
1870408,21,1074,13332,0.08055805580558056
1870408,35,12258,13332,0.9194419441944195
1870409,21,1659,17634,0.09407961891799932
1870409,35,15975,17634,0.9059203810820007
1870410,35,851,851,1.0
1870411,21,1072,11298,0.09488405027438485
1870411,35,10226,11298,0.9051159497256152
