old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1890101,19,1128,1128,1.0
1890102,19,1101,1101,1.0
1890103,19,1958,1958,1.0
1890104,19,1808,1808,1.0
1890105,19,711,711,1.0
1890110,19,1213,1213,1.0
1890111,19,2229,2229,1.0
1890112,19,3070,3070,1.0
1890202,19,1421,1421,1.0
1890203,19,2566,2566,1.0
1890204,19,2426,2426,1.0
1890205,19,1184,1184,1.0
1890206,19,686,686,1.0
1890213,19,806,806,1.0
1890214,19,1176,1176,1.0
1890215,19,944,944,1.0
1890304,19,2556,2556,1.0
1890305,19,2001,2001,1.0
1890306,19,525,525,1.0
1890307,19,1727,1727,1.0
1890308,19,449,449,1.0
1890316,19,2108,2108,1.0
1890317,19,307,307,1.0
1890318,19,2078,2078,1.0
1890406,19,3285,3285,1.0
1890407,19,3293,3293,1.0
1890408,19,1442,1442,1.0
1890409,19,2935,2935,1.0
1890419,19,599,599,1.0
1890420,19,1004,1004,1.0
