year,new_district_id,candidate,party,estimated_votes
2016,17,Schneiderman,LIBERTARIAN,1.1659025257741797
2016,17,Thomas,DEMOCRAT,8.240590117900569
2016,17,Williams,REPUBLICAN,44.100313110420174
2016,25,Schneiderman,LIBERTARIAN,1.7611602997826803
2016,25,Thomas,DEMOCRAT,15.18443778671257
2016,25,Williams,REPUBLICAN,103.03723352348281
2016,31,Schneiderman,LIBERTARIAN,64.07293717444314
2016,31,Thomas,DEMOCRAT,451.5749720953869
2016,31,Williams,REPUBLICAN,2811.862453366097
2018,17,LINDSEY,LIBERTARIAN,0.2410714285714286
2018,17,OLIVER,DEMOCRAT,9.452263750824498
2018,17,WILLIAMS,REPUBLICAN,41.15800875240457
2018,25,LINDSEY,LIBERTARIAN,0.8901494603781388
2018,25,OLIVER,DEMOCRAT,17.122817202684637
2018,25,WILLIAMS,REPUBLICAN,95.6833255576685
2018,31,LINDSEY,LIBERTARIAN,26.868779111050433
2018,31,OLIVER,DEMOCRAT,482.42491904649086
2018,31,WILLIAMS,REPUBLICAN,2621.158665689927
2020,17,KELSEY,LIBERTARIAN,1.0494575545229152
2020,17,OLIVER,DEMOCRAT,10.454087654480709
2020,17,WILLIAMS,REPUBLICAN,55.33964136191169
2020,25,KELSEY,LIBERTARIAN,2.0491049242896913
2020,25,OLIVER,DEMOCRAT,19.765138985887617
2020,25,WILLIAMS,REPUBLICAN,125.36977914534461
2020,31,KELSEY,LIBERTARIAN,65.9014375211874
2020,31,OLIVER,DEMOCRAT,545.7807733596317
2020,31,WILLIAMS,REPUBLICAN,3397.2905794927437
2022,17,CARTER,REPUBLICAN,48.572713635129666
2022,25,CARTER,REPUBLICAN,109.5307959261549
2022,31,CARTER,REPUBLICAN,2885.896490438716
2024,17,CARTER,REPUBLICAN,61.3300250239131
2024,17,WHITLOW,DEMOCRAT,7.618238121926028
2024,25,CARTER,REPUBLICAN,139.65178026818742
2024,25,WHITLOW,DEMOCRAT,18.870770544514446
2024,31,CARTER,REPUBLICAN,3660.0181947078995
2024,31,WHITLOW,DEMOCRAT,513.5109913335596
