old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1930001,25,130,2229,0.05832211754149843
1930001,31,2099,2229,0.9416778824585016
1930004,17,28,386,0.07253886010362694
1930004,31,358,386,0.927461139896373
1930005,17,47,349,0.1346704871060172
1930005,31,302,349,0.8653295128939829
1930007,17,117,2912,0.04017857142857143
1930007,25,189,2912,0.06490384615384616
1930007,31,2606,2912,0.8949175824175825
1930009,31,384,384,1.0
1930012,31,387,387,1.0
1930014,25,44,441,0.09977324263038549
1930014,31,397,441,0.9002267573696145
1930015,25,84,501,0.16766467065868262
1930015,31,417,501,0.8323353293413174
1930017,31,340,340,1.0
1930022,31,1836,1836,1.0
1930023,31,2039,2039,1.0
