year,new_district_id,candidate,party,estimated_votes
2016,9,Babin,REPUBLICAN,257.7410643532849
2016,9,Ridley,OTHER,9.046150948297402
2016,10,Babin,REPUBLICAN,20.018181818181816
2016,10,Ridley,OTHER,0.5454545454545454
2016,14,Babin,REPUBLICAN,0.0
2016,14,Ridley,OTHER,0.0
2016,36,Babin,REPUBLICAN,19873.240753828533
2016,36,Ridley,OTHER,1203.408394506248
2018,9,BABIN,REPUBLICAN,215.91974558290147
2018,9,STEELE,DEMOCRAT,18.838695127792924
2018,10,BABIN,REPUBLICAN,17.07272727272727
2018,10,STEELE,DEMOCRAT,0.8181818181818181
2018,14,BABIN,REPUBLICAN,0.0
2018,14,STEELE,DEMOCRAT,0.0
2018,36,BABIN,REPUBLICAN,17248.00752714437
2018,36,STEELE,DEMOCRAT,2590.3431230540255
2020,9,ABBEY,LIBERTARIAN,2.7267133653387274
2020,9,BABIN,REPUBLICAN,316.8765926185878
2020,9,LEWIS,DEMOCRAT,19.29885836958939
2020,9,RIDLEY,OTHER,0.7592534252244971
2020,10,ABBEY,LIBERTARIAN,0.10909090909090909
2020,10,BABIN,REPUBLICAN,23.618181818181817
2020,10,LEWIS,DEMOCRAT,1.1454545454545455
2020,10,RIDLEY,OTHER,0.0
2020,14,ABBEY,LIBERTARIAN,0.0
2020,14,BABIN,REPUBLICAN,0.0
2020,14,LEWIS,DEMOCRAT,0.0
2020,14,RIDLEY,OTHER,0.0
2020,36,ABBEY,LIBERTARIAN,354.1641957255704
2020,36,BABIN,REPUBLICAN,23613.505225563233
2020,36,LEWIS,DEMOCRAT,3010.555687084956
2020,36,RIDLEY,OTHER,80.2407465747755
2022,9,BABIN,REPUBLICAN,228.60477863482072
2022,9,HAIRE,DEMOCRAT,14.659537293666979
2022,10,BABIN,REPUBLICAN,16.636363636363637
2022,10,HAIRE,DEMOCRAT,0.7636363636363636
2022,14,BABIN,REPUBLICAN,0.0
2022,14,HAIRE,DEMOCRAT,0.0
2022,36,BABIN,REPUBLICAN,17265.758857728815
2022,36,HAIRE,DEMOCRAT,2002.5768263426967
2024,9,BABIN,REPUBLICAN,330.81369031126985
2024,9,STEELE,DEMOCRAT,26.37423150601837
2024,10,BABIN,REPUBLICAN,23.454545454545453
2024,10,STEELE,DEMOCRAT,1.4181818181818182
2024,14,BABIN,REPUBLICAN,0.0
2024,14,STEELE,DEMOCRAT,0.0
2024,36,BABIN,REPUBLICAN,24421.731764234184
2024,36,STEELE,DEMOCRAT,3102.2075866758
