old_precinct_id,new_district_id,fragment_population,precinct_total,weight
1990001,36,3840,3840,1.0
1990002,36,8767,8767,1.0
1990003,9,82,1503,0.054557551563539586
1990003,36,1421,1503,0.9454424484364604
1990004,9,389,1628,0.23894348894348894
1990004,36,1239,1628,0.7610565110565111
1990005,9,237,1210,0.19586776859504132
1990005,10,66,1210,0.05454545454545454
1990005,36,907,1210,0.7495867768595041
1990006,36,12516,12516,1.0
1990007,10,0,1686,0.0
1990007,36,1686,1686,1.0
1990008,10,0,1247,0.0
1990008,36,1247,1247,1.0
1990009,14,0,5435,0.0
1990009,36,5435,5435,1.0
1990010,36,4522,4522,1.0
1990011,36,2608,2608,1.0
1990012,36,2603,2603,1.0
1990013,36,5034,5034,1.0
1990014,36,2515,2515,1.0
1990015,9,191,3716,0.05139935414424112
1990015,36,3525,3716,0.9486006458557589
1990016,14,0,5284,0.0
1990016,36,5284,5284,1.0
1990017,36,2058,2058,1.0
1990018,36,10194,10194,1.0
1990019,36,3801,3801,1.0
