year,new_district_id,candidate,party,estimated_votes
2016,2,Babin,REPUBLICAN,0.0
2016,2,Bartley,REPUBLICAN,4515.167910126157
2016,2,Bryan,DEMOCRAT,37141.23560111405
2016,2,Cadien,DEMOCRAT,692.69813543337
2016,2,Cargas,DEMOCRAT,280.12608856702553
2016,2,Culberson,REPUBLICAN,690.194467138609
2016,2,Darr,OTHER,1113.2175058809546
2016,2,Flores Perez,LIBERTARIAN,18.20752275342642
2016,2,Garza,REPUBLICAN,244.9081218408878
2016,2,Green,DEMOCRAT,580.5630781771579
2016,2,Jackson Lee,DEMOCRAT,5368.340657839041
2016,2,Kelsey,LIBERTARIAN,99.28463165992457
2016,2,Kleven,OTHER,273.44587704335913
2016,2,McCaul,REPUBLICAN,2120.312465247371
2016,2,Partsch-Galvan,OTHER,6.8531743473333435
2016,2,Poe,REPUBLICAN,81543.89903138074
2016,2,Ridley,OTHER,0.0
2016,2,Veasaw,LIBERTARIAN,2535.6131865520465
2016,7,Bartley,REPUBLICAN,9883.10949560281
2016,7,Bryan,DEMOCRAT,20132.202811520332
2016,7,Cargas,DEMOCRAT,30258.788228295598
2016,7,Culberson,REPUBLICAN,31290.64648644644
2016,7,Darr,OTHER,556.415822615812
2016,7,Flores Perez,LIBERTARIAN,126.84969886766159
2016,7,Garza,REPUBLICAN,666.0195332780876
2016,7,Green,DEMOCRAT,28778.96187527181
2016,7,Jackson Lee,DEMOCRAT,12439.579678873744
2016,7,Kleven,OTHER,1183.4608874495934
2016,7,Martin,REPUBLICAN,10150.340103998802
2016,7,Partsch-Galvan,OTHER,57.1134923267687
2016,7,Poe,REPUBLICAN,17360.598780024964
2016,7,Veasaw,LIBERTARIAN,1223.2413568352126
2016,8,Bryan,DEMOCRAT,2528.1332581101997
2016,8,Cadien,DEMOCRAT,4505.635874899161
2016,8,Cargas,DEMOCRAT,33134.191809594886
2016,8,Culberson,REPUBLICAN,30257.810719194076
2016,8,Darr,OTHER,84.61512385428512
2016,8,Green,DEMOCRAT,13450.218825238362
2016,8,Kelsey,LIBERTARIAN,362.61074177373865
2016,8,Martin,REPUBLICAN,4711.981572908362
2016,8,McCaul,REPUBLICAN,5832.393766066089
2016,8,Poe,REPUBLICAN,3363.7044292543183
2016,8,Veasaw,LIBERTARIAN,144.63731993763474
2016,9,Babin,REPUBLICAN,45407.46485200056
2016,9,Bartley,REPUBLICAN,463.9050285451703
2016,9,Bryan,DEMOCRAT,1583.9633880724036
2016,9,Darr,OTHER,42.73158961863744
2016,9,Flores Perez,LIBERTARIAN,1584.8114374839654
2016,9,Garza,REPUBLICAN,17036.211464692748
2016,9,Gibson,DEMOCRAT,50.12028301886792
2016,9,Green,DEMOCRAT,49578.37972443429
2016,9,Jackson Lee,DEMOCRAT,2486.0271926769324
2016,9,Kleven,OTHER,51.250230953532366
2016,9,Martin,REPUBLICAN,26.75782221722863
2016,9,Olson,REPUBLICAN,48.09009433962264
2016,9,Partsch-Galvan,OTHER,724.6343579565726
2016,9,Poe,REPUBLICAN,4864.65389713142
2016,9,Ridley,OTHER,8156.007797824973
2016,9,Veasaw,LIBERTARIAN,117.42846139662163
2016,14,Babin,REPUBLICAN,19.885590584656416
2016,14,Gibson,DEMOCRAT,573.243098335312
2016,14,Olson,REPUBLICAN,941.9030421459094
2016,14,Ridley,OTHER,3.6296630671892687
2016,18,Babin,REPUBLICAN,27.182474707373203
2016,18,Bartley,REPUBLICAN,5986.460471448817
2016,18,Bryan,DEMOCRAT,4413.103131260695
2016,18,Cargas,DEMOCRAT,7440.798623254012
2016,18,Culberson,REPUBLICAN,6927.760882741687
2016,18,Darr,OTHER,103.86729456280277
2016,18,Flores Perez,LIBERTARIAN,325.6186787113635
2016,18,Garza,REPUBLICAN,3002.249957836858
2016,18,Green,DEMOCRAT,76082.98432214854
2016,18,Jackson Lee,DEMOCRAT,53959.080864138276
2016,18,Kleven,OTHER,1494.481616674789
2016,18,Martin,REPUBLICAN,9699.6116336581
2016,18,Partsch-Galvan,OTHER,167.41248181375278
2016,18,Poe,REPUBLICAN,3358.218104158569
2016,18,Ridley,OTHER,9.847047904487145
2016,18,Veasaw,LIBERTARIAN,242.06506925361543
2016,22,Bryan,DEMOCRAT,0.0
2016,22,Cadien,DEMOCRAT,9773.657675425806
2016,22,Cargas,DEMOCRAT,6724.379410223742
2016,22,Culberson,REPUBLICAN,12742.222276104987
2016,22,Darr,OTHER,0.0
2016,22,Green,DEMOCRAT,161.1405044823913
2016,22,Kelsey,LIBERTARIAN,1115.8180042969339
2016,22,Martin,REPUBLICAN,50.77885285482672
2016,22,McCaul,REPUBLICAN,16703.27560609965
2016,22,Poe,REPUBLICAN,0.0
2016,22,Veasaw,LIBERTARIAN,0.0
2016,29,Bartley,REPUBLICAN,26755.251003198653
2016,29,Bryan,DEMOCRAT,12058.449713824853
2016,29,Cargas,DEMOCRAT,100.13723787654769
2016,29,Culberson,REPUBLICAN,313.9446585345946
2016,29,Darr,OTHER,308.2779379418876
2016,29,Flores Perez,LIBERTARIAN,778.268930234768
2016,29,Garza,REPUBLICAN,6991.771306217773
2016,29,Green,DEMOCRAT,23540.257429575995
2016,29,Jackson Lee,DEMOCRAT,75071.66022438368
2016,29,Kleven,OTHER,2794.8181701781614
2016,29,Partsch-Galvan,OTHER,319.41738866411345
2016,29,Poe,REPUBLICAN,11342.309629930685
2016,29,Veasaw,LIBERTARIAN,506.34625729115555
2016,36,Babin,REPUBLICAN,30872.467082707393
2016,36,Flores Perez,LIBERTARIAN,400.24373194881537
2016,36,Garza,REPUBLICAN,3704.839616133638
2016,36,Gibson,DEMOCRAT,14475.63661864582
2016,36,Green,DEMOCRAT,11710.102272159902
2016,36,Martin,REPUBLICAN,492.6738527455483
2016,36,Olson,REPUBLICAN,17835.006863514467
2016,36,Partsch-Galvan,OTHER,177.56910489145918
2016,36,Ridley,OTHER,6427.5154912033495
2016,38,Bartley,REPUBLICAN,702.1060910784008
2016,38,Bryan,DEMOCRAT,22373.91209609747
2016,38,Cadien,DEMOCRAT,18540.008314241655
2016,38,Cargas,DEMOCRAT,34052.57860218818
2016,38,Culberson,REPUBLICAN,61319.42050983961
2016,38,Darr,OTHER,674.8747255256203
2016,38,Green,DEMOCRAT,172.3919685115601
2016,38,Jackson Lee,DEMOCRAT,831.3113820883117
2016,38,Kelsey,LIBERTARIAN,2538.286622269404
2016,38,Kleven,OTHER,46.54321770056473
2016,38,Martin,REPUBLICAN,39.85616161713706
2016,38,McCaul,REPUBLICAN,56100.01816258689
2016,38,Poe,REPUBLICAN,46858.6161281193
2016,38,Veasaw,LIBERTARIAN,1659.668348733713
2018,2,ARONOFF,REPUBLICAN,205.27489296392508
2018,2,BABIN,REPUBLICAN,0.0
2018,2,BRADY,REPUBLICAN,5948.758656323142
2018,2,BURNS,LIBERTARIAN,8.278468801942937
2018,2,CRENSHAW,REPUBLICAN,67751.94625946095
2018,2,CUBBLER,OTHER,740.2625175425119
2018,2,CULBERSON,REPUBLICAN,583.5143245519012
2018,2,DAVID,DEMOCRAT,3919.5387298628684
2018,2,DUNCAN,LIBERTARIAN,160.8172133489336
2018,2,FLETCHER,DEMOCRAT,334.99222375678363
2018,2,GARCIA,DEMOCRAT,577.663510990357
2018,2,GUNNELS,LIBERTARIAN,890.7636927798601
2018,2,JACKSON LEE,DEMOCRAT,5104.474510316834
2018,2,LITTON,DEMOCRAT,42926.5961628776
2018,2,MCCAUL,REPUBLICAN,1817.1285020152504
2018,2,PATE,REPUBLICAN,3627.9192948362743
2018,2,RYAN,LIBERTARIAN,48.62922959337081
2018,2,SIEGEL,DEMOCRAT,800.4718747289342
2018,2,SPENCER,LIBERTARIAN,139.90607579003176
2018,2,STEELE,DEMOCRAT,0.0
2018,7,ARONOFF,REPUBLICAN,654.7916336925365
2018,7,BURNS,LIBERTARIAN,63.14396456575003
2018,7,CRENSHAW,REPUBLICAN,13321.183288168959
2018,7,CUBBLER,OTHER,299.9336431272674
2018,7,CULBERSON,REPUBLICAN,24328.74380060988
2018,7,FLETCHER,DEMOCRAT,35445.434524287135
2018,7,GARCIA,DEMOCRAT,2660.927433117143
2018,7,GREEN,DEMOCRAT,22779.666048949537
2018,7,GUNNELS,LIBERTARIAN,454.4710137926901
2018,7,HERNANDEZ,OTHER,1321.1460853018607
2018,7,JACKSON LEE,DEMOCRAT,14603.47601301786
2018,7,KURTZ,LIBERTARIAN,1489.3229998174882
2018,7,LITTON,DEMOCRAT,26228.893054842345
2018,7,PATE,REPUBLICAN,7516.313227772029
2018,7,ROGERS,OTHER,997.2785136303756
2018,7,SPENCER,LIBERTARIAN,1203.2843648511823
2018,8,BRADY,REPUBLICAN,0.0
2018,8,CRENSHAW,REPUBLICAN,2518.3656441031967
2018,8,CUBBLER,OTHER,44.28110000782456
2018,8,CULBERSON,REPUBLICAN,24174.204351317734
2018,8,DAVID,DEMOCRAT,0.0
2018,8,DUNCAN,LIBERTARIAN,0.0
2018,8,FLETCHER,DEMOCRAT,35605.11625151705
2018,8,GREEN,DEMOCRAT,11888.47496026915
2018,8,GUNNELS,LIBERTARIAN,54.35209367366366
2018,8,HERNANDEZ,OTHER,605.4951357462794
2018,8,KURTZ,LIBERTARIAN,698.4296404581003
2018,8,LITTON,DEMOCRAT,2645.1712022330894
2018,8,MCCAUL,REPUBLICAN,5413.182153188882
2018,8,ROGERS,OTHER,434.99636163875994
2018,8,RYAN,LIBERTARIAN,173.01629871356278
2018,8,SIEGEL,DEMOCRAT,5334.206873898886
2018,9,ARONOFF,REPUBLICAN,15385.332785046052
2018,9,BABIN,REPUBLICAN,36585.4829153355
2018,9,BURNS,LIBERTARIAN,603.2279488340243
2018,9,CRENSHAW,REPUBLICAN,4225.378302587628
2018,9,CUBBLER,OTHER,35.6957045133131
2018,9,GARCIA,DEMOCRAT,44575.7003334934
2018,9,GREEN,DEMOCRAT,307.4331018044441
2018,9,GUNNELS,LIBERTARIAN,43.041971080289464
2018,9,HERNANDEZ,OTHER,6.659401707659102
2018,9,JACKSON LEE,DEMOCRAT,2134.50296150215
2018,9,KULKARNI,DEMOCRAT,51.89669811320755
2018,9,KURTZ,LIBERTARIAN,3.4220851429684043
2018,9,LITTON,DEMOCRAT,1941.2448814563975
2018,9,MCELLIGOTT,LIBERTARIAN,0.5075471698113208
2018,9,OLSON,REPUBLICAN,35.908962264150944
2018,9,PATE,REPUBLICAN,387.2853810555681
2018,9,ROGERS,OTHER,7.062697292853719
2018,9,SPENCER,LIBERTARIAN,31.073481349474683
2018,9,STEELE,DEMOCRAT,22220.574653115556
2018,9,SWENY,OTHER,0.8882075471698113
2018,14,BABIN,REPUBLICAN,16.27879228574769
2018,14,KULKARNI,DEMOCRAT,624.0401967024328
2018,14,MCELLIGOTT,LIBERTARIAN,10.185930184511998
2018,14,OLSON,REPUBLICAN,857.8622425578089
2018,14,STEELE,DEMOCRAT,8.132576507925826
2018,14,SWENY,OTHER,12.476516885226909
2018,18,ARONOFF,REPUBLICAN,2665.2744967345884
2018,18,BABIN,REPUBLICAN,24.24326130154129
2018,18,BURNS,LIBERTARIAN,157.02302089853492
2018,18,CRENSHAW,REPUBLICAN,2551.2623054846395
2018,18,CUBBLER,OTHER,51.81437355036134
2018,18,CULBERSON,REPUBLICAN,5351.115679050694
2018,18,FLETCHER,DEMOCRAT,8378.692418280589
2018,18,GARCIA,DEMOCRAT,10059.484287404157
2018,18,GREEN,DEMOCRAT,58322.14780386554
2018,18,GUNNELS,LIBERTARIAN,96.57308810670797
2018,18,HERNANDEZ,OTHER,1829.1975112049204
2018,18,JACKSON LEE,DEMOCRAT,48166.77853500765
2018,18,KURTZ,LIBERTARIAN,1688.8514477599633
2018,18,LITTON,DEMOCRAT,5977.106958799026
2018,18,PATE,REPUBLICAN,4758.3717498792375
2018,18,ROGERS,OTHER,1812.95852444546
2018,18,SPENCER,LIBERTARIAN,958.5309352384583
2018,18,STEELE,DEMOCRAT,23.2366851226589
2018,22,CRENSHAW,REPUBLICAN,0.0
2018,22,CUBBLER,OTHER,0.0
2018,22,CULBERSON,REPUBLICAN,10486.539797114352
2018,22,FLETCHER,DEMOCRAT,7743.114364975119
2018,22,GREEN,DEMOCRAT,147.3361859011617
2018,22,GUNNELS,LIBERTARIAN,0.0
2018,22,HERNANDEZ,OTHER,7.890597560253999
2018,22,KURTZ,LIBERTARIAN,6.449076151940864
2018,22,LITTON,DEMOCRAT,0.0
2018,22,MCCAUL,REPUBLICAN,14331.134288418734
2018,22,ROGERS,OTHER,4.774967403604332
2018,22,RYAN,LIBERTARIAN,505.40369144623685
2018,22,SIEGEL,DEMOCRAT,11518.012213545273
2018,29,ARONOFF,REPUBLICAN,5985.978712227114
2018,29,BURNS,LIBERTARIAN,246.81690891740863
2018,29,CRENSHAW,REPUBLICAN,9269.340269262493
2018,29,CUBBLER,OTHER,163.4082364943467
2018,29,CULBERSON,REPUBLICAN,267.3253884622145
2018,29,FLETCHER,DEMOCRAT,127.65093940184485
2018,29,GARCIA,DEMOCRAT,21306.561874001527
2018,29,GUNNELS,LIBERTARIAN,198.57070865388644
2018,29,JACKSON LEE,DEMOCRAT,67856.38319887083
2018,29,LITTON,DEMOCRAT,13198.42756989296
2018,29,PATE,REPUBLICAN,21495.243519848686
2018,29,SPENCER,LIBERTARIAN,1699.8961002273595
2018,36,ARONOFF,REPUBLICAN,3201.347479335786
2018,36,BABIN,REPUBLICAN,24901.995031077207
2018,36,BURNS,LIBERTARIAN,120.50968798233899
2018,36,GARCIA,DEMOCRAT,9007.66256099342
2018,36,GREEN,DEMOCRAT,1968.0992817465915
2018,36,HERNANDEZ,OTHER,102.55622214421271
2018,36,KULKARNI,DEMOCRAT,14701.06310518436
2018,36,KURTZ,LIBERTARIAN,50.00386342310635
2018,36,MCELLIGOTT,LIBERTARIAN,381.30652264567664
2018,36,OLSON,REPUBLICAN,14663.22879517804
2018,36,ROGERS,OTHER,58.182927437075506
2018,36,STEELE,DEMOCRAT,16127.056085253864
2018,36,SWENY,OTHER,342.63527556760334
2018,38,BRADY,REPUBLICAN,12093.241343676858
2018,38,CRENSHAW,REPUBLICAN,39550.52393093216
2018,38,CUBBLER,OTHER,503.60442476437504
2018,38,CULBERSON,REPUBLICAN,50450.556658893256
2018,38,DAVID,DEMOCRAT,6513.4612701371325
2018,38,DUNCAN,LIBERTARIAN,315.18278665106635
2018,38,FLETCHER,DEMOCRAT,40323.99927778147
2018,38,GREEN,DEMOCRAT,143.8426174635835
2018,38,GUNNELS,LIBERTARIAN,635.2274319129024
2018,38,HERNANDEZ,OTHER,7.055046334813424
2018,38,JACKSON LEE,DEMOCRAT,838.3847812846724
2018,38,KURTZ,LIBERTARIAN,8.520887246432508
2018,38,LITTON,DEMOCRAT,27074.56016989858
2018,38,MCCAUL,REPUBLICAN,50155.55505637713
2018,38,PATE,REPUBLICAN,582.8668266081953
2018,38,ROGERS,OTHER,5.746008151870917
2018,38,RYAN,LIBERTARIAN,1292.95078024683
2018,38,SIEGEL,DEMOCRAT,23167.309037826908
2018,38,SPENCER,LIBERTARIAN,34.309042543494556
2020,2,ABBEY,LIBERTARIAN,0.0
2020,2,BABIN,REPUBLICAN,0.0
2020,2,BLANCO,REPUBLICAN,297.65052537155066
2020,2,BRADY,REPUBLICAN,8622.764871738176
2020,2,CHAMPION,REPUBLICAN,4906.497662803415
2020,2,CRENSHAW,REPUBLICAN,91191.65537927003
2020,2,DUNCAN,LIBERTARIAN,306.1289261413573
2020,2,DUNCAN,OTHER,163.31159416586695
2020,2,ERIKSEN,LIBERTARIAN,84.8331259954432
2020,2,FLETCHER,DEMOCRAT,408.4586091540438
2020,2,GARCIA,DEMOCRAT,807.6498225539865
2020,2,HERNANDEZ,DEMOCRAT,5765.5980215785485
2020,2,HUNT,REPUBLICAN,689.8782642350386
