old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2010001,7,3923,4120,0.9521844660194175
2010001,18,197,4120,0.047815533980582525
2010002,7,7055,7544,0.9351802757158006
2010002,18,489,7544,0.06481972428419937
2010003,7,7317,7317,1.0
2010004,7,4030,4030,1.0
2010005,7,3792,3792,1.0
2010006,2,9347,10061,0.9290328993141835
2010006,29,714,10061,0.07096710068581652
2010007,18,3940,3940,1.0
2010008,7,6935,7202,0.9629269647320189
2010008,18,267,7202,0.037073035267981114
2010009,18,5022,5022,1.0
2010010,9,0,4588,0.0
2010010,18,4588,4588,1.0
2010011,9,863,5525,0.15619909502262444
2010011,18,4662,5525,0.8438009049773756
2010012,9,4190,4984,0.8406902086677368
2010012,36,794,4984,0.15930979133226325
2010013,9,11684,11684,1.0
2010014,18,3878,3878,1.0
2010015,7,7057,7057,1.0
2010016,7,0,6235,0.0
2010016,18,6235,6235,1.0
2010017,18,5417,5417,1.0
2010018,18,3670,3670,1.0
2010019,18,2693,2693,1.0
2010020,7,756,7332,0.10310965630114566
2010020,18,6576,7332,0.8968903436988543
2010021,18,2820,2820,1.0
2010022,18,10023,10023,1.0
2010023,9,5019,5019,1.0
2010024,18,1957,1957,1.0
2010025,18,2559,2559,1.0
2010026,9,249,5682,0.04382259767687434
2010026,18,5433,5682,0.9561774023231256
2010027,9,769,7658,0.10041786367197701
2010027,18,6889,7658,0.899582136328023
2010028,9,14480,14480,1.0
2010029,9,9851,9851,1.0
2010030,7,3692,13421,0.2750912748677446
2010030,18,9729,13421,0.7249087251322555
2010031,18,7399,7399,1.0
2010032,7,2823,12229,0.2308447133862131
2010032,18,9406,12229,0.7691552866137868
2010033,7,6076,12636,0.48084836973725864
2010033,18,6560,12636,0.5191516302627414
2010034,7,6480,8130,0.7970479704797048
2010034,18,1650,8130,0.2029520295202952
2010035,7,1082,1082,1.0
2010036,9,0,12906,0.0
2010036,18,1080,12906,0.08368200836820083
2010036,36,11826,12906,0.9163179916317992
2010037,7,6993,8340,0.8384892086330935
2010037,18,1347,8340,0.16151079136690646
2010038,7,6375,7022,0.907861008259755
2010038,38,647,7022,0.09213899174024494
2010039,7,7519,7519,1.0
2010040,7,2092,2465,0.8486815415821501
2010040,18,373,2465,0.1513184584178499
2010041,2,5199,5199,1.0
2010042,9,0,2011,0.0
2010042,18,2011,2011,1.0
2010043,29,8977,10504,0.8546268088347296
2010043,38,1527,10504,0.14537319116527037
2010044,7,3995,6725,0.5940520446096654
2010044,18,2730,6725,0.40594795539033457
2010045,9,402,17115,0.023488168273444347
2010045,18,16713,17115,0.9765118317265556
2010046,7,6193,7968,0.7772339357429718
2010046,18,1727,7968,0.21674196787148595
2010046,29,48,7968,0.006024096385542169
2010047,18,3992,3992,1.0
2010048,9,18,2868,0.006276150627615063
2010048,18,2850,2868,0.9937238493723849
2010049,8,2998,11663,0.257052216410872
2010049,38,8665,11663,0.742947783589128
2010050,38,14201,14201,1.0
2010051,9,6906,6906,1.0
2010052,7,5098,5098,1.0
2010052,38,0,5098,0.0
2010053,7,6472,6472,1.0
2010054,7,4685,4685,1.0
2010055,7,7911,7911,1.0
2010056,38,5026,5026,1.0
2010057,7,6683,6683,1.0
2010058,7,7350,7350,1.0
2010059,7,5490,5490,1.0
2010060,7,6764,6841,0.9887443356234469
2010060,38,77,6841,0.011255664376553136
2010061,29,12283,12283,1.0
2010062,9,5510,5899,0.934056619766062
2010062,18,389,5899,0.06594338023393796
2010063,9,7382,7382,1.0
2010064,9,7622,7622,1.0
2010065,9,6323,6323,1.0
2010066,9,2971,2971,1.0
2010067,9,15296,15872,0.9637096774193549
2010067,18,576,15872,0.036290322580645164
2010068,18,8281,8281,1.0
2010069,9,4729,5559,0.8506925706062242
2010069,18,830,5559,0.14930742939377586
2010070,7,6470,7025,0.9209964412811388
2010070,38,555,7025,0.07900355871886121
2010071,7,6726,6726,1.0
2010071,38,0,6726,0.0
2010072,9,4887,4887,1.0
2010073,29,7180,7180,1.0
2010074,2,1555,8113,0.19166769382472576
2010074,29,0,8113,0.0
2010074,38,6558,8113,0.8083323061752743
2010075,7,4450,4450,1.0
2010075,29,0,4450,0.0
2010076,36,10288,10288,1.0
2010077,18,26,26,1.0
2010078,7,22,5408,0.0040680473372781065
2010078,18,554,5408,0.10244082840236686
2010078,29,4832,5408,0.893491124260355
2010079,9,6777,7209,0.9400749063670412
2010079,18,432,7209,0.0599250936329588
2010080,9,14553,14553,1.0
2010081,9,8853,8853,1.0
2010081,18,0,8853,0.0
2010082,38,8311,8311,1.0
2010083,18,9505,13626,0.6975634815793337
2010083,29,4121,13626,0.3024365184206664
2010084,9,4444,4444,1.0
2010085,18,8411,8411,1.0
2010086,7,8005,8072,0.9916997026759168
2010086,29,67,8072,0.008300297324083251
2010087,7,7836,7836,1.0
2010088,9,55,4408,0.01247731397459165
2010088,36,4353,4408,0.9875226860254084
2010089,7,3225,3225,1.0
2010090,14,32,9272,0.003451251078515962
2010090,36,9240,9272,0.996548748921484
2010091,14,0,7611,0.0
2010091,36,7611,7611,1.0
2010092,36,5618,5618,1.0
2010093,9,18168,18168,1.0
2010094,9,3213,3213,1.0
2010095,8,7443,12749,0.5838104949407796
2010095,22,907,12749,0.07114283473213585
2010095,38,4399,12749,0.34504667032708447
2010096,18,11439,11439,1.0
2010097,9,7529,7529,1.0
2010098,2,7874,10110,0.7788328387734916
2010098,9,2236,10110,0.2211671612265084
2010099,9,7389,8056,0.9172045680238332
2010099,36,667,8056,0.08279543197616683
2010100,9,7047,8132,0.8665764879488441
2010100,36,1085,8132,0.13342351205115593
2010101,29,7666,7666,1.0
2010102,9,5490,5836,0.9407128169979438
2010102,36,346,5836,0.0592871830020562
2010103,9,9404,9637,0.9758223513541558
2010103,36,233,9637,0.02417764864584414
2010104,18,5439,5453,0.9974326059050064
2010104,29,14,5453,0.0025673940949935813
2010105,29,10151,10151,1.0
2010106,29,1846,1846,1.0
2010107,29,7462,7462,1.0
2010108,2,13510,22599,0.5978140625691403
2010108,29,9089,22599,0.4021859374308598
2010109,29,15332,15332,1.0
2010110,2,8843,8843,1.0
2010110,29,0,8843,0.0
2010111,38,7640,7640,1.0
2010112,38,6139,6139,1.0
2010113,2,2097,8949,0.23432785786121355
2010113,29,6852,8949,0.7656721421387864
2010114,2,825,10487,0.07866882807285211
2010114,8,307,10487,0.029274339658624964
2010114,38,9355,10487,0.892056832268523
2010115,9,19,5257,0.0036142286475175957
2010115,18,5238,5257,0.9963857713524824
2010116,29,611,6878,0.08883396336144228
2010116,38,6267,6878,0.9111660366385578
2010117,29,8904,8989,0.9905439982200467
2010117,38,85,8989,0.009456001779953276
2010118,18,7702,7888,0.9764198782961461
2010118,29,186,7888,0.023580121703853957
2010119,8,746,7764,0.09608449252962391
2010119,22,7018,7764,0.9039155074703761
2010120,38,11541,11541,1.0
2010121,8,3586,5261,0.6816194639802319
2010121,38,1675,5261,0.3183805360197681
2010122,29,6108,6108,1.0
2010123,7,4451,5436,0.8188005886681383
2010123,18,985,5436,0.18119941133186165
2010124,38,7419,7419,1.0
2010125,2,8590,12278,0.699625346147581
2010125,38,3688,12278,0.30037465385241896
2010126,8,3561,10722,0.33212087297146053
2010126,38,7161,10722,0.6678791270285395
2010127,38,7746,7746,1.0
2010128,7,8119,8119,1.0
2010129,7,5329,14485,0.3678978253365551
2010129,38,9156,14485,0.632102174663445
2010130,7,7482,19380,0.38606811145510833
2010130,8,0,19380,0.0
2010130,38,11898,19380,0.6139318885448917
2010131,18,8298,8298,1.0
2010132,18,4945,4945,1.0
2010133,7,5973,5973,1.0
2010134,18,132,10346,0.012758554030543205
2010134,36,10214,10346,0.9872414459694568
2010135,7,1761,10832,0.1625738552437223
2010135,38,9071,10832,0.8374261447562777
2010136,18,4541,4541,1.0
2010137,38,11810,11810,1.0
2010138,18,4031,4031,1.0
2010139,7,10243,10967,0.933983769490289
2010139,38,724,10967,0.06601623050971095
2010140,18,6476,6476,1.0
2010141,9,3029,3029,1.0
2010142,9,5773,5773,1.0
2010143,8,4531,18520,0.24465442764578835
2010143,38,13989,18520,0.7553455723542116
2010144,18,2289,2289,1.0
2010145,18,3304,3304,1.0
2010146,18,5130,5130,1.0
2010147,29,10301,10301,1.0
2010148,7,6338,7808,0.8117315573770492
2010148,18,1470,7808,0.1882684426229508
2010149,8,1651,10551,0.15647805895175812
2010149,38,8900,10551,0.8435219410482419
2010150,18,5482,5482,1.0
2010151,18,3057,3410,0.8964809384164223
2010151,29,353,3410,0.10351906158357771
2010152,29,10690,10690,1.0
2010153,29,9813,9813,1.0
2010154,9,6863,6863,1.0
2010155,8,1845,15653,0.11786877914776721
2010155,38,13808,15653,0.8821312208522328
2010156,7,369,784,0.47066326530612246
2010156,38,415,784,0.5293367346938775
2010157,29,7182,7182,1.0
2010158,18,7215,7215,1.0
2010159,18,3018,3018,1.0
2010160,18,2576,2576,1.0
2010161,9,16,2558,0.006254886630179828
2010161,18,2542,2558,0.9937451133698202
2010162,9,5767,5767,1.0
2010163,9,8571,9116,0.9402150065818341
2010163,18,545,9116,0.059784993418165865
2010164,9,1784,4975,0.3585929648241206
2010164,18,3191,4975,0.6414070351758794
2010165,38,15969,15969,1.0
2010166,7,2725,2764,0.98589001447178
2010166,29,39,2764,0.014109985528219971
2010167,18,603,603,1.0
2010167,29,0,603,0.0
2010168,18,2546,2707,0.9405245659401551
2010168,29,161,2707,0.059475434059844845
2010169,29,8979,8979,1.0
2010170,9,14029,14029,1.0
2010171,18,1095,7819,0.14004348382146053
2010171,29,6724,7819,0.8599565161785394
2010172,9,2905,4205,0.6908442330558858
2010172,18,1300,4205,0.3091557669441142
2010172,36,0,4205,0.0
2010173,38,8165,8165,1.0
2010174,9,630,8895,0.07082630691399663
2010174,36,8265,8895,0.9291736930860034
2010175,7,5996,6544,0.9162591687041565
2010175,18,548,6544,0.08374083129584352
2010176,7,3573,3573,1.0
2010176,18,0,3573,0.0
2010177,7,6430,10381,0.6194008284365669
2010177,38,3951,10381,0.3805991715634332
2010178,7,477,5592,0.08530042918454936
2010178,38,5115,5592,0.9146995708154506
2010179,7,0,10613,0.0
2010179,29,3043,10613,0.28672382926599455
2010179,38,7570,10613,0.7132761707340055
2010180,18,6304,6304,1.0
2010181,9,7711,7711,1.0
2010182,7,2314,2862,0.8085255066387141
2010182,18,548,2862,0.1914744933612858
2010183,7,6313,6313,1.0
2010184,29,4730,4730,1.0
2010185,29,10454,10454,1.0
2010186,18,3330,3330,1.0
2010187,9,1191,1191,1.0
2010187,18,0,1191,0.0
2010188,9,8042,8042,1.0
2010189,29,4107,4107,1.0
2010190,9,7303,7303,1.0
