year,new_district_id,candidate,party,estimated_votes
2016,1,Gohmert,REPUBLICAN,18871.193251533743
2016,1,Gray,LIBERTARIAN,465.83435582822085
2016,1,McKellar,DEMOCRAT,6817.426380368098
2016,32,Gohmert,REPUBLICAN,8.80674846625767
2016,32,Gray,LIBERTARIAN,0.1656441717791411
2016,32,McKellar,DEMOCRAT,1.5736196319018405
2018,1,CALLAWAY,LIBERTARIAN,301.9723926380368
2018,1,GOHMERT,REPUBLICAN,16265.242331288344
2018,1,MCKELLAR,DEMOCRAT,5957.426380368099
2018,32,CALLAWAY,LIBERTARIAN,0.027607361963190184
2018,32,GOHMERT,REPUBLICAN,7.757668711656442
2018,32,MCKELLAR,DEMOCRAT,1.5736196319018405
2020,1,GILBERT,DEMOCRAT,7751.315950920245
2020,1,GOHMERT,REPUBLICAN,21556.233128834356
2020,32,GILBERT,DEMOCRAT,1.6840490797546013
2020,32,GOHMERT,REPUBLICAN,10.766871165644172
2022,1,JEFFERSON,DEMOCRAT,4741.8404907975455
2022,1,MORAN,REPUBLICAN,16529.14417177914
2022,32,JEFFERSON,DEMOCRAT,1.1595092024539877
2022,32,MORAN,REPUBLICAN,9.855828220858896
2024,1,MORAN,REPUBLICAN,24329.85889570552
2024,32,MORAN,REPUBLICAN,13.141104294478527
