old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2030001,1,4876,4876,1.0
2030002,1,5800,5800,1.0
2030003,1,5142,5142,1.0
2030004,1,6652,6652,1.0
2030005,1,1611,1611,1.0
2030006,1,2960,2960,1.0
2030007,1,2581,2581,1.0
2030008,1,5142,5142,1.0
2030009,1,3865,3865,1.0
2030010,1,3316,3316,1.0
2030011,1,3079,3079,1.0
2030012,1,11675,11675,1.0
2030013,1,3955,3955,1.0
2030014,1,2641,2641,1.0
2030015,1,3302,3302,1.0
2030016,1,1268,1304,0.9723926380368099
2030016,32,36,1304,0.027607361963190184
2030017,1,3702,3702,1.0
2030018,1,1861,1861,1.0
2030019,1,6580,6580,1.0
2030020,1,4770,4770,1.0
2030021,1,1877,1877,1.0
2030022,1,5992,5992,1.0
2030023,1,1572,1572,1.0
2030023,32,0,1572,0.0
2030024,1,1603,1603,1.0
2030025,1,7391,7391,1.0
2030026,1,2128,2128,1.0
