old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2090110,21,5914,8048,0.7348409542743539
2090110,27,1295,8048,0.16090954274353877
2090110,35,839,8048,0.10424950298210736
2090111,21,1131,1131,1.0
2090112,21,6641,6641,1.0
2090113,21,4947,5904,0.8379065040650406
2090113,27,957,5904,0.16209349593495934
2090114,21,5397,5397,1.0
2090115,21,6799,7447,0.9129850946689942
2090115,35,648,7447,0.08701490533100577
2090120,21,2936,8792,0.33393994540491356
2090120,27,5856,8792,0.6660600545950864
2090121,21,6732,8972,0.7503343736067767
2090121,27,2240,8972,0.24966562639322337
2090122,21,7922,10824,0.7318920916481892
2090122,27,2902,10824,0.2681079083518108
2090123,21,4285,4478,0.956900401965163
2090123,27,193,4478,0.04309959803483698
2090125,27,16205,16205,1.0
2090126,27,9023,9023,1.0
2090127,27,5810,5810,1.0
2090128,27,8880,8880,1.0
2090129,27,7474,7474,1.0
2090130,27,7784,7784,1.0
2090220,27,8892,8892,1.0
2090221,27,7801,7801,1.0
2090222,27,6057,6057,1.0
2090223,27,7161,7161,1.0
2090224,27,6024,6024,1.0
2090225,21,51,3809,0.01338934103439223
2090225,27,3758,3809,0.9866106589656077
2090226,27,6502,6502,1.0
2090227,27,13064,13064,1.0
2090228,27,11226,11226,1.0
2090229,27,13045,13045,1.0
2090230,27,3706,3706,1.0
2090231,27,12293,12293,1.0
2090232,27,5889,5889,1.0
2090233,27,3895,3895,1.0
2090234,27,7515,7515,1.0
2090235,27,6577,6577,1.0
2090236,21,2166,7883,0.2747684891538754
2090236,27,5717,7883,0.7252315108461246
2090238,27,774,774,1.0
2090301,21,45,45,1.0
2090315,21,7163,7163,1.0
2090316,21,6256,6256,1.0
2090317,21,2185,2185,1.0
2090318,21,1061,1061,1.0
2090330,21,6849,6849,1.0
2090332,21,11458,15909,0.7202212584071909
2090332,27,4451,15909,0.2797787415928091
2090333,21,7999,11308,0.7073753095153873
2090333,27,3309,11308,0.29262469048461265
2090334,21,8871,8871,1.0
2090335,21,6360,6360,1.0
2090336,21,10716,12721,0.8423866048266646
2090336,27,2005,12721,0.15761339517333542
2090337,21,6661,7242,0.919773543220105
2090337,27,581,7242,0.08022645677989505
2090338,21,4689,5270,0.889753320683112
2090338,27,581,5270,0.11024667931688804
2090339,21,3035,3052,0.994429882044561
2090339,27,17,3052,0.005570117955439056
2090340,21,5286,5286,1.0
2090413,21,7362,9328,0.7892367066895368
2090413,27,1966,9328,0.21076329331046312
2090414,21,8925,11634,0.7671480144404332
2090414,27,2709,11634,0.2328519855595668
2090415,21,9237,14587,0.6332350723246727
2090415,27,5350,14587,0.36676492767532737
2090416,21,600,2687,0.22329735764793449
2090416,27,2087,2687,0.7767026423520655
2090417,21,477,5760,0.0828125
2090417,27,5283,5760,0.9171875
2090418,27,342,342,1.0
2090419,27,5521,5521,1.0
2090420,21,1594,7437,0.21433373672179643
2090420,27,5843,7437,0.7856662632782035
2090421,21,2359,5362,0.43994778067885115
2090421,27,3003,5362,0.5600522193211488
2090440,10,873,6942,0.1257562662057044
2090440,21,6069,6942,0.8742437337942955
2090441,10,2127,9153,0.23238282530317927
2090441,21,7026,9153,0.7676171746968207
2090442,10,1705,16262,0.10484565244127414
2090442,21,5759,16262,0.35413848235149425
2090442,27,8798,16262,0.5410158652072315
2090443,10,1705,20467,0.08330483216885719
2090443,21,8043,20467,0.39297405579713685
2090443,27,10719,20467,0.523721112034006
2090444,10,3080,14880,0.20698924731182797
2090444,21,9617,14880,0.6463037634408603
2090444,27,2183,14880,0.14670698924731182
2090445,10,1904,10103,0.18845887360190042
2090445,21,5037,10103,0.49856478273780064
2090445,27,3162,10103,0.3129763436602989
2090446,21,3971,10190,0.38969578017664375
2090446,27,6219,10190,0.6103042198233563
2090447,21,9280,19372,0.47904191616766467
2090447,27,10092,19372,0.5209580838323353
2090448,10,1705,17147,0.09943430337668396
2090448,21,9377,17147,0.5468595089520033
2090448,27,6065,17147,0.3537061876713128
2090449,21,12601,18127,0.6951508799029072
2090449,27,5526,18127,0.30484912009709275
