year,new_district_id,candidate,party,estimated_votes
2016,1,Ashby,LIBERTARIAN,8.85945945945946
2016,1,Hensarling,REPUBLICAN,131.16756756756757
2016,5,Ashby,LIBERTARIAN,2209.9244259913385
2016,5,Hensarling,REPUBLICAN,23653.239977199926
2016,6,Ashby,LIBERTARIAN,16.216114549202434
2016,6,Hensarling,REPUBLICAN,173.59245523250513
2016,17,Ashby,LIBERTARIAN,0.0
2016,17,Hensarling,REPUBLICAN,0.0
2018,1,GOODEN,REPUBLICAN,119.27567567567569
2018,1,WOOD,DEMOCRAT,21.88108108108108
2018,5,GOODEN,REPUBLICAN,21214.750890560426
2018,5,WOOD,DEMOCRAT,4834.833036220485
2018,6,GOODEN,REPUBLICAN,149.97343376389819
2018,6,WOOD,DEMOCRAT,35.28588269843419
2018,17,GOODEN,REPUBLICAN,0.0
2018,17,WOOD,DEMOCRAT,0.0
2020,1,GOODEN,REPUBLICAN,150.790273556231
2020,1,HALE,LIBERTARIAN,2.622439540108365
2020,1,SALTER,DEMOCRAT,29.204440333024976
2020,5,GOODEN,REPUBLICAN,28663.88753682488
2020,5,HALE,LIBERTARIAN,611.9258611422025
2020,5,SALTER,DEMOCRAT,6229.777400734314
2020,6,GOODEN,REPUBLICAN,211.32218961888623
2020,6,HALE,LIBERTARIAN,4.4516993176891635
2020,6,SALTER,DEMOCRAT,46.0181589326603
2020,17,GOODEN,REPUBLICAN,0.0
2020,17,HALE,LIBERTARIAN,0.0
2020,17,SALTER,DEMOCRAT,0.0
2022,1,GOODEN,REPUBLICAN,121.25035561877667
2022,1,HALE,LIBERTARIAN,3.3359886201991467
2022,1,HILL,DEMOCRAT,21.940540540540542
2022,5,GOODEN,REPUBLICAN,22584.142361125327
2022,5,HALE,LIBERTARIAN,439.2888872129885
2022,5,HILL,DEMOCRAT,4343.585098462143
2022,5,TORRES,OTHER,10.913604283280604
2022,6,GOODEN,REPUBLICAN,202.60728325589704
2022,6,HALE,LIBERTARIAN,3.3751241668123146
2022,6,HILL,DEMOCRAT,37.47436099731661
2022,6,TORRES,OTHER,0.08639571671939644
2022,17,GOODEN,REPUBLICAN,0.0
2022,17,HALE,LIBERTARIAN,0.0
2022,17,HILL,DEMOCRAT,0.0
2024,1,GOODEN,REPUBLICAN,163.2068278805121
2024,1,TORRES,DEMOCRAT,30.537126600284495
2024,5,GOODEN,REPUBLICAN,30712.69169522271
2024,5,TORRES,DEMOCRAT,6196.172111325176
2024,6,GOODEN,REPUBLICAN,270.1014768967785
2024,6,TORRES,DEMOCRAT,54.29076207453933
2024,17,GOODEN,REPUBLICAN,0.0
2024,17,TORRES,DEMOCRAT,0.0
