old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2130001,5,3763,3763,1.0
2130002,5,1482,1482,1.0
2130003,5,5075,5075,1.0
2130004,5,3568,3568,1.0
213001A,5,3884,4057,0.9573576534385013
213001A,6,173,4057,0.042642346561498644
213001M,5,4563,4668,0.9775064267352185
213001M,6,105,4668,0.02249357326478149
213001T,5,3754,4109,0.9136042832806035
213001T,6,355,4109,0.08639571671939644
213002E,5,4748,4748,1.0
213002M,5,2375,2375,1.0
213003B,5,5184,5184,1.0
213003C,1,451,3515,0.1283072546230441
213003C,5,3064,3515,0.871692745376956
213003M,5,3812,3812,1.0
213003N,5,2825,2825,1.0
213004A,5,3296,3296,1.0
213004B,5,4557,4557,1.0
213004W,5,2444,2444,1.0
21301CR,5,4479,4584,0.9770942408376964
21301CR,6,105,4584,0.022905759162303665
21301CR,17,0,4584,0.0
21301MN,5,2315,2315,1.0
21301TC,5,5191,5397,0.9618306466555494
21301TC,6,206,5397,0.038169353344450624
21303CS,1,0,4613,0.0
21303CS,5,4613,4613,1.0
21303NW,5,1604,1604,1.0
21303WS,1,0,2946,0.0
21303WS,5,2946,2946,1.0
21304LP,1,0,4185,0.0
21304LP,5,4185,4185,1.0
21304MS,1,0,3439,0.0
21304MS,5,3439,3439,1.0
21304SE,5,5472,5472,1.0
2132GBN,5,4706,4706,1.0
2132GBS,5,3897,3897,1.0
2132PSN,5,4301,4301,1.0
2132PSS,5,4166,4166,1.0
2134NLP,5,3995,3995,1.0
