year,new_district_id,candidate,party,estimated_votes
2016,15,Cary,OTHER,3.0120926850134206
2016,15,Cuellar,DEMOCRAT,83.78800325689392
2016,15,Gonzalez,DEMOCRAT,57514.24981826763
2016,15,Gonzalez,REPUBLICAN,6340.127628513714
2016,15,Hardin,REPUBLICAN,75.9036001025056
2016,15,Leone,LIBERTARIAN,1359.7047815551728
2016,15,Tijerina,OTHER,3203.1528429220452
2016,15,Vela,DEMOCRAT,17222.444275084257
2016,15,Westley,REPUBLICAN,20296.95904323433
2016,28,Cary,OTHER,601.9879073149866
2016,28,Cuellar,DEMOCRAT,19832.211996743106
2016,28,Gonzalez,DEMOCRAT,21935.30762025267
2016,28,Gonzalez,REPUBLICAN,202.30634832026308
2016,28,Hardin,REPUBLICAN,6427.096399897495
2016,28,Leone,LIBERTARIAN,548.4786391024053
2016,28,Tijerina,OTHER,1091.0831113721608
2016,28,Vela,DEMOCRAT,732.786612946627
2016,28,Westley,REPUBLICAN,8298.91516559001
2016,34,Gonzalez,DEMOCRAT,38.442561479714385
2016,34,Gonzalez,REPUBLICAN,5.566023166023165
2016,34,Leone,LIBERTARIAN,0.8165793424214861
2016,34,Tijerina,OTHER,2.764045705794701
2016,34,Vela,DEMOCRAT,12.769111969111968
2016,34,Westley,REPUBLICAN,12.125791175661675
2018,15,CRISTO,LIBERTARIAN,1149.140604960473
2018,15,CUELLAR,DEMOCRAT,102.16956151912235
2018,15,GONZALEZ,DEMOCRAT,55723.45066290523
2018,15,GONZALEZ,REPUBLICAN,5715.317883190437
2018,15,THOMAS,LIBERTARIAN,25.078036884446824
2018,15,VELA,DEMOCRAT,14508.255916799339
2018,15,WESTLEY,REPUBLICAN,20381.73110085934
2018,28,CRISTO,LIBERTARIAN,397.26634047669614
2018,28,CUELLAR,DEMOCRAT,19385.830438480876
2018,28,GONZALEZ,DEMOCRAT,19794.84875925177
2018,28,GONZALEZ,REPUBLICAN,179.21570754315428
2018,28,THOMAS,LIBERTARIAN,2264.9219631155534
2018,28,VELA,DEMOCRAT,598.320144976724
2018,28,WESTLEY,REPUBLICAN,7695.189490241987
2018,34,CRISTO,LIBERTARIAN,0.5930545628306688
2018,34,GONZALEZ,DEMOCRAT,34.70057784300549
2018,34,GONZALEZ,REPUBLICAN,6.466409266409266
2018,34,VELA,DEMOCRAT,13.423938223938222
2018,34,WESTLEY,REPUBLICAN,12.079408898671964
2020,15,CONGDON,LIBERTARIAN,5.707324150811187
2020,15,CRISTO,LIBERTARIAN,612.1010580743628
2020,15,CUELLAR,DEMOCRAT,105.72559632052695
2020,15,DE LA CRUZ HERNANDEZ,REPUBLICAN,41353.39604231932
2020,15,GONZALEZ,DEMOCRAT,63159.907171825806
2020,15,GONZALEZ,REPUBLICAN,10057.40063350956
2020,15,LEONE,LIBERTARIAN,1836.3338149975586
2020,15,ROYAL,OTHER,351.75842009690575
2020,15,VELA,DEMOCRAT,17540.748245554867
2020,15,WHITTEN,REPUBLICAN,98.6867469226678
2020,28,CONGDON,LIBERTARIAN,714.2926758491888
2020,28,CRISTO,LIBERTARIAN,27.407822234517567
2020,28,CUELLAR,DEMOCRAT,21918.274403679476
2020,28,DE LA CRUZ HERNANDEZ,REPUBLICAN,15350.652069122702
2020,28,GONZALEZ,DEMOCRAT,23991.720986545257
2020,28,GONZALEZ,REPUBLICAN,376.6773587684319
2020,28,LEONE,LIBERTARIAN,731.1052275824352
2020,28,ROYAL,OTHER,14.832313493827828
2020,28,VELA,DEMOCRAT,753.1444185377982
2020,28,WHITTEN,REPUBLICAN,11415.313253077331
2020,34,CRISTO,LIBERTARIAN,0.4911196911196911
2020,34,DE LA CRUZ HERNANDEZ,REPUBLICAN,24.951888557964782
2020,34,GONZALEZ,DEMOCRAT,41.37184162894202
2020,34,GONZALEZ,REPUBLICAN,8.922007722007722
2020,34,LEONE,LIBERTARIAN,1.5609574200059069
2020,34,ROYAL,OTHER,0.4092664092664092
2020,34,VELA,DEMOCRAT,17.107335907335905
2022,15,DE LA CRUZ,REPUBLICAN,20526.58435243503
2022,15,FLORES,REPUBLICAN,17227.800488622004
2022,15,GONZALEZ,DEMOCRAT,25820.639834248435
2022,15,LEONE,LIBERTARIAN,971.7182013654539
2022,15,ROYAL,OTHER,1199.3152285813046
2022,15,VALLEJO,DEMOCRAT,26014.150995267923
2022,28,DE LA CRUZ,REPUBLICAN,19104.29654930532
2022,28,FLORES,REPUBLICAN,735.5730905395321
2022,28,GONZALEZ,DEMOCRAT,1229.883116934026
2022,28,LEONE,LIBERTARIAN,880.8795377408426
2022,28,ROYAL,OTHER,53.263848907885325
2022,28,VALLEJO,DEMOCRAT,25388.190155164586
2022,34,DE LA CRUZ,REPUBLICAN,6.119098259645348
2022,34,FLORES,REPUBLICAN,22.62642083846515
2022,34,GONZALEZ,DEMOCRAT,28.4770488175435
2022,34,LEONE,LIBERTARIAN,0.40226089370342344
2022,34,ROYAL,OTHER,1.4209225108100152
2022,34,VALLEJO,DEMOCRAT,6.658849567482761
2024,15,DE LA CRUZ,REPUBLICAN,34797.443689674816
2024,15,FLORES,REPUBLICAN,31067.61349367213
2024,15,GONZALEZ,DEMOCRAT,36567.96671219644
2024,15,VALLEJO,DEMOCRAT,36593.05718775026
2024,28,DE LA CRUZ,REPUBLICAN,33637.21646632615
2024,28,FLORES,REPUBLICAN,1219.7238514262297
2024,28,GONZALEZ,DEMOCRAT,1697.9818270572987
2024,28,VALLEJO,DEMOCRAT,35864.37941645015
2024,34,DE LA CRUZ,REPUBLICAN,8.339843999029611
2024,34,FLORES,REPUBLICAN,36.662654901642696
2024,34,GONZALEZ,DEMOCRAT,43.05146074626406
2024,34,VALLEJO,DEMOCRAT,8.56339579958361
