old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2150001,15,3368,3397,0.9914630556373271
2150001,34,29,3397,0.008536944362672947
2150002,15,7283,7283,1.0
2150003,15,3677,3677,1.0
2150004,15,11750,14416,0.8150665926748057
2150004,28,2666,14416,0.18493340732519423
2150005,15,6504,6504,1.0
2150006,15,9694,10963,0.8842470126790112
2150006,28,1269,10963,0.11575298732098878
2150007,15,1269,9836,0.12901586010573404
2150007,28,8567,9836,0.8709841398942659
2150008,15,5498,6455,0.8517428350116188
2150008,28,957,6455,0.1482571649883811
2150009,28,8565,8565,1.0
2150010,28,5477,5477,1.0
2150011,28,4039,4039,1.0
2150012,28,291,291,1.0
2150013,15,12299,12299,1.0
2150014,15,3055,3055,1.0
2150015,15,4579,4579,1.0
2150016,15,3846,3846,1.0
2150017,15,3000,3000,1.0
2150018,15,864,880,0.9818181818181818
2150018,34,16,880,0.01818181818181818
2150019,15,1079,1099,0.9818016378525932
2150019,28,9,1099,0.00818926296633303
2150019,34,11,1099,0.010009099181073703
2150020,15,2924,3018,0.9688535453943009
2150020,28,94,3018,0.031146454605699137
2150021,15,2940,2940,1.0
2150022,15,2491,2491,1.0
2150023,15,7158,7158,1.0
2150024,15,222,255,0.8705882352941177
2150024,28,33,255,0.12941176470588237
2150025,15,10637,13401,0.7937467353182598
2150025,28,2764,13401,0.20625326468174016
2150026,28,3557,3557,1.0
2150027,15,0,2446,0.0
2150027,28,2446,2446,1.0
2150028,28,12495,12495,1.0
2150029,28,6044,6044,1.0
2150030,15,15965,15965,1.0
2150031,15,7422,7422,1.0
2150032,15,5452,5452,1.0
2150033,15,4158,4187,0.9930737998566993
2150033,34,29,4187,0.006926200143300693
2150034,15,15,4171,0.0035962598897146965
2150034,28,4156,4171,0.9964037401102853
2150035,15,2411,12186,0.1978499917938618
2150035,28,9775,12186,0.8021500082061382
2150036,15,5245,16234,0.32308734754219537
2150036,28,10989,16234,0.6769126524578046
2150037,28,3107,3107,1.0
2150038,28,8686,8686,1.0
2150039,15,7613,8288,0.9185569498069498
2150039,28,675,8288,0.08144305019305019
2150040,15,6804,6804,1.0
