year,new_district_id,candidate,party,estimated_votes
2016,6,Schneiderman,LIBERTARIAN,2.0585318450574706
2016,6,Thomas,DEMOCRAT,19.98869288413138
2016,6,Williams,REPUBLICAN,74.68157721245697
2016,17,Schneiderman,LIBERTARIAN,285.9414681549425
2016,17,Thomas,DEMOCRAT,2470.011307115868
2016,17,Williams,REPUBLICAN,9854.31842278754
2018,6,LINDSEY,LIBERTARIAN,0.979566038423979
2018,6,OLIVER,DEMOCRAT,19.690267001595164
2018,6,WILLIAMS,REPUBLICAN,67.89931063091153
2018,17,LINDSEY,LIBERTARIAN,113.02043396157603
2018,17,OLIVER,DEMOCRAT,2309.3097329984043
2018,17,WILLIAMS,REPUBLICAN,8819.100689369088
2020,6,KELSEY,LIBERTARIAN,1.6326172681350701
2020,6,OLIVER,DEMOCRAT,22.45687579352322
2020,6,WILLIAMS,REPUBLICAN,91.31805423889983
2020,17,KELSEY,LIBERTARIAN,193.36738273186492
2020,17,OLIVER,DEMOCRAT,2658.5431242064765
2020,17,WILLIAMS,REPUBLICAN,11741.6819457611
2022,6,ELLZEY,REPUBLICAN,74.92851804218992
2022,17,ELLZEY,REPUBLICAN,9357.07148195781
2024,6,ELLZEY,REPUBLICAN,109.71905813024914
2024,6,LOVE,DEMOCRAT,24.27617778133488
2024,17,ELLZEY,REPUBLICAN,13463.28094186975
2024,17,LOVE,DEMOCRAT,2717.723822218665
