old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2170001,17,3728,3728,1.0
2170002,17,4002,4002,1.0
2170003,17,4474,4474,1.0
2170004,17,4651,4651,1.0
2170005,17,2226,2226,1.0
2170006,17,5307,5307,1.0
2170007,17,2046,2046,1.0
2170008,17,4280,4280,1.0
2170009,6,101,3180,0.031761006289308176
2170009,17,3079,3180,0.9682389937106918
2170010,6,153,4896,0.03125
2170010,17,4743,4896,0.96875
2170011,6,46,1641,0.028031687995124923
2170011,17,1595,1641,0.9719683120048751
2170012,6,85,2961,0.028706518068220197
2170012,17,2876,2961,0.9712934819317798
2170013,17,5157,5157,1.0
