old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2230001,3,6281,6281,1.0
2230002,3,5061,5061,1.0
2230003,3,4768,4768,1.0
2230004,3,5247,5247,1.0
2230005,3,1448,1448,1.0
2230008,3,1152,1239,0.9297820823244553
2230008,32,87,1239,0.07021791767554479
2230011,3,1528,1528,1.0
2230012,3,585,585,1.0
2230013,3,2541,2588,0.981839258114374
2230013,32,47,2588,0.018160741885625966
2230014,3,2172,2273,0.9555653321601408
2230014,32,101,2273,0.044434667839859214
2230016,3,2132,2287,0.9322256230870135
2230016,32,155,2287,0.06777437691298645
2230017,3,2686,2686,1.0
223001A,3,4300,4300,1.0
2230020,3,1291,1291,1.0
2230023,3,905,905,1.0
2230024,3,1662,1662,1.0
2230025,3,1101,1101,1.0
223002A,3,4313,4313,1.0
2230036,3,2555,2876,0.8883866481223922
2230036,32,321,2876,0.11161335187760779
223003A,3,4181,4181,1.0
223004A,3,4401,4401,1.0
