year,new_district_id,candidate,party,estimated_votes
2018,1,BRADY,REPUBLICAN,11.158860112083255
2018,1,DAVID,DEMOCRAT,1.934482230785237
2018,1,DUNCAN,LIBERTARIAN,0.16621362058701294
2018,5,BRADY,REPUBLICAN,52.718153124553965
2018,5,DAVID,DEMOCRAT,12.065548337311519
2018,5,DUNCAN,LIBERTARIAN,0.29605727474992555
2018,10,BRADY,REPUBLICAN,5523.70643897449
2018,10,DAVID,DEMOCRAT,1660.3566028127877
2018,10,DUNCAN,LIBERTARIAN,66.50634536714524
2018,36,BRADY,REPUBLICAN,2.4165477888730384
2018,36,DAVID,DEMOCRAT,0.6433666191155492
2018,36,DUNCAN,LIBERTARIAN,0.03138373751783167
2020,1,BRADY,REPUBLICAN,14.06186782737202
2020,1,DUNCAN,LIBERTARIAN,0.16019165492876442
2020,1,HERNANDEZ,DEMOCRAT,2.4905126192070566
2020,5,BRADY,REPUBLICAN,71.98029921970507
2020,5,DUNCAN,LIBERTARIAN,1.1395569519552777
2020,5,HERNANDEZ,DEMOCRAT,15.74156858497597
2020,10,BRADY,REPUBLICAN,6976.642118667209
2020,10,DUNCAN,LIBERTARIAN,108.66882282168739
2020,10,HERNANDEZ,DEMOCRAT,2157.93506165296
2020,36,BRADY,REPUBLICAN,3.315714285714286
2020,36,DUNCAN,LIBERTARIAN,0.03142857142857143
2020,36,HERNANDEZ,DEMOCRAT,0.832857142857143
2022,1,SESSIONS,REPUBLICAN,11.769118310357833
2022,1,WOODS,DEMOCRAT,1.7904204862955178
2022,5,SESSIONS,REPUBLICAN,60.825290117819165
2022,5,WOODS,DEMOCRAT,9.7627668895012
2022,10,SESSIONS,REPUBLICAN,5638.671305857537
2022,10,WOODS,DEMOCRAT,1382.7553840527746
2022,36,SESSIONS,REPUBLICAN,2.7342857142857144
2022,36,WOODS,DEMOCRAT,0.6914285714285715
2024,1,LORENZEN,DEMOCRAT,2.3136052678165964
2024,1,SESSIONS,REPUBLICAN,14.607042895297912
2024,5,LORENZEN,DEMOCRAT,13.779158316910923
2024,5,SESSIONS,REPUBLICAN,74.72820588073492
2024,10,LORENZEN,DEMOCRAT,1890.0115221295582
2024,10,SESSIONS,REPUBLICAN,7076.144751223967
2024,36,LORENZEN,DEMOCRAT,0.8957142857142858
2024,36,SESSIONS,REPUBLICAN,3.5200000000000005
