year,new_district_id,candidate,party,estimated_votes
2016,11,Arrington,REPUBLICAN,11.470912738214643
2016,11,Bonar,LIBERTARIAN,0.5802407221664995
2016,11,Lawson,OTHER,0.4909729187562688
2016,19,Arrington,REPUBLICAN,6624.529087261785
2016,19,Bonar,LIBERTARIAN,577.4197592778335
2016,19,Lawson,OTHER,334.50902708124374
2018,11,ARRINGTON,REPUBLICAN,8.4358074222668
2018,11,LEVARIO,DEMOCRAT,2.3655967903711135
2018,19,ARRINGTON,REPUBLICAN,5707.564192577734
2018,19,LEVARIO,DEMOCRAT,1603.634403209629
2020,11,ARRINGTON,REPUBLICAN,11.566301473366075
2020,11,BURNES,LIBERTARIAN,0.2353607857952399
2020,11,WATSON,DEMOCRAT,1.1431809595768794
2020,19,ARRINGTON,REPUBLICAN,7826.433698526634
2020,19,BURNES,LIBERTARIAN,207.76463921420475
2020,19,WATSON,DEMOCRAT,1864.856819040423
2022,11,ARRINGTON,REPUBLICAN,8.977332829618435
2022,11,LEWIS,OTHER,0.7060823573857197
2022,19,ARRINGTON,REPUBLICAN,5373.022667170381
2022,19,LEWIS,OTHER,918.2939176426142
2024,11,ARRINGTON,REPUBLICAN,11.566301473366075
2024,11,JOHNSON,LIBERTARIAN,0.3698526633925198
2024,11,LEWIS,OTHER,0.4707215715904798
2024,19,ARRINGTON,REPUBLICAN,7254.433698526634
2024,19,JOHNSON,LIBERTARIAN,551.6301473366075
2024,19,LEWIS,OTHER,759.5292784284095
