old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2270011,19,5682,5682,1.0
2270012,19,2073,2073,1.0
2270013,19,7229,7229,1.0
2270014,19,1048,1048,1.0
2270016,19,979,979,1.0
2270024,19,766,766,1.0
2270025,19,3250,3250,1.0
2270026,19,1123,1123,1.0
2270031,19,600,600,1.0
2270032,19,884,884,1.0
2270033,19,4231,4231,1.0
2270034,19,4284,4284,1.0
2270035,19,1190,1190,1.0
2270037,19,1731,1731,1.0
2270041,19,82,82,1.0
2270042,19,2468,2468,1.0
2270045,19,2306,2306,1.0
2270046,19,3557,3557,1.0
2270103,19,817,817,1.0
2270104,19,319,319,1.0
2270105,19,5,5,1.0
227012A,19,866,866,1.0
2270205,19,3151,3151,1.0
2270207,19,2988,2988,1.0
2270208,11,0,518,0.0
2270208,19,518,518,1.0
2270209,11,0,0,
2270209,19,0,0,
2270304,11,89,2647,0.03362296939931998
2270304,19,2558,2647,0.96637703060068
227031A,19,723,723,1.0
227034A,19,243,243,1.0
2270404,19,1505,1505,1.0
2270405,19,1117,1117,1.0
2270408,19,110,110,1.0
2270409,19,1436,1436,1.0
227207C,19,1084,1084,1.0
227208C,19,225,225,1.0
