year,new_district_id,candidate,party,estimated_votes
2016,3,Ratcliffe,REPUBLICAN,15819.690898557164
2016,3,Wommack,LIBERTARIAN,2630.821676787223
2016,4,Ratcliffe,REPUBLICAN,39.10379206674836
2016,4,Wommack,LIBERTARIAN,5.274570217947439
2016,5,Ratcliffe,REPUBLICAN,398.16461370874225
2016,5,Wommack,LIBERTARIAN,53.46450915519884
2016,32,Ratcliffe,REPUBLICAN,8109.040695667345
2016,32,Wommack,LIBERTARIAN,968.4392438396308
2018,3,ASHBY,LIBERTARIAN,306.9661456219915
2018,3,KRANTZ,DEMOCRAT,4836.52367820328
2018,3,RATCLIFFE,REPUBLICAN,13677.086972355251
2018,4,ASHBY,LIBERTARIAN,0.5481811698450578
2018,4,KRANTZ,DEMOCRAT,5.910706150312198
2018,4,RATCLIFFE,REPUBLICAN,35.076956543098724
2018,5,ASHBY,LIBERTARIAN,6.286273805388055
2018,5,KRANTZ,DEMOCRAT,74.6480579168718
2018,5,RATCLIFFE,REPUBLICAN,353.2868763330524
2018,32,ASHBY,LIBERTARIAN,118.1993994027754
2018,32,KRANTZ,DEMOCRAT,1417.9175577295364
2018,32,RATCLIFFE,REPUBLICAN,7201.549194768599
2020,3,ANTONELLI,LIBERTARIAN,550.1981247847718
2020,3,FALLON,REPUBLICAN,17978.549988742005
2020,3,FOSTER,DEMOCRAT,6049.80755237198
2020,4,ANTONELLI,LIBERTARIAN,0.9725046056868258
2020,4,FALLON,REPUBLICAN,48.38187763798113
2020,4,FOSTER,DEMOCRAT,8.455560089254677
2020,5,ANTONELLI,LIBERTARIAN,8.177298070619623
2020,5,FALLON,REPUBLICAN,447.9717482489476
2020,5,FOSTER,DEMOCRAT,83.19680453337328
2020,32,ANTONELLI,LIBERTARIAN,208.6520725389216
2020,32,FALLON,REPUBLICAN,10118.096385371065
2020,32,FOSTER,DEMOCRAT,1852.540083005393
2022,3,CLAYTOR,LIBERTARIAN,399.1181085522934
2022,3,SELF,REPUBLICAN,15061.04977102592
2022,3,SRIVASTAVA,DEMOCRAT,4370.992513355804
2022,4,CLAYTOR,LIBERTARIAN,0.7548089559220766
2022,4,SELF,REPUBLICAN,42.57210679418007
2022,4,SRIVASTAVA,DEMOCRAT,6.398295804441076
2022,5,FALLON,REPUBLICAN,316.42326521047954
2022,5,OMERE,DEMOCRAT,54.85974750093975
2022,5,SIMMONS,LIBERTARIAN,8.808065648666826
2022,32,CLAYTOR,LIBERTARIAN,95.12708249178452
2022,32,FALLON,REPUBLICAN,2666.5767347895207
2022,32,OMERE,DEMOCRAT,465.1402524990603
2022,32,SELF,REPUBLICAN,5513.378122179901
2022,32,SIMMONS,LIBERTARIAN,71.19193435133317
2022,32,SRIVASTAVA,DEMOCRAT,1018.6091908397561
2024,3,SELF,REPUBLICAN,22863.993818634877
2024,3,SRIVASTAVA,DEMOCRAT,6943.3889799504195
2024,4,SELF,REPUBLICAN,63.118889986978914
2024,4,SRIVASTAVA,DEMOCRAT,8.9356480005876
2024,5,CARDELL,DEMOCRAT,77.78259658753254
2024,5,FALLON,REPUBLICAN,465.5517714861163
2024,32,CARDELL,DEMOCRAT,703.2174034124674
2024,32,FALLON,REPUBLICAN,3992.448228513884
2024,32,SELF,REPUBLICAN,8529.887291378147
2024,32,SRIVASTAVA,DEMOCRAT,1768.6753720489921
