old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2310101,3,2217,2324,0.9539586919104991
2310101,4,107,2324,0.04604130808950086
2310102,3,1538,1552,0.990979381443299
2310102,4,14,1552,0.00902061855670103
2310103,3,1990,1990,1.0
2310104,3,3332,3332,1.0
2310105,3,2609,2609,1.0
2310106,3,6103,6103,1.0
2310107,3,8292,8292,1.0
2310108,3,4642,4642,1.0
2310109,3,2594,2594,1.0
2310110,3,2546,2546,1.0
2310111,3,2840,2840,1.0
2310212,3,2323,3356,0.6921930870083433
2310212,32,1033,3356,0.30780691299165674
2310213,3,1119,4395,0.2546075085324232
2310213,32,3276,4395,0.7453924914675768
2310216,32,5299,5299,1.0
2310217,5,320,3058,0.10464355788096795
2310217,32,2738,3058,0.8953564421190321
2310318,3,1915,1915,1.0
2310319,3,1677,3876,0.4326625386996904
2310319,32,2199,3876,0.5673374613003096
2310320,5,0,6305,0.0
2310320,32,6305,6305,1.0
2310321,5,985,3584,0.2748325892857143
2310321,32,2599,3584,0.7251674107142857
2310322,5,415,4569,0.09082950317356095
2310322,32,4154,4569,0.909170496826439
2310323,3,2294,7586,0.3023991563406275
2310323,32,5292,7586,0.6976008436593726
2310324,3,5107,6546,0.78017109685304
2310324,32,1439,6546,0.21982890314695996
2310325,3,5625,5972,0.9418955123911588
2310325,32,347,5972,0.05810448760884126
2310426,3,1335,1375,0.9709090909090909
2310426,4,40,1375,0.02909090909090909
2310427,3,7914,7914,1.0
2310428,3,6419,6419,1.0
2310429,3,842,842,1.0
2310430,3,2866,2866,1.0
2310431,3,1944,1944,1.0
2310432,3,3397,3418,0.9938560561732007
2310432,4,21,3418,0.006143943826799298
2310433,3,9027,9027,1.0
2310434,3,2471,2471,1.0
231214A,32,7175,7175,1.0
231214B,5,372,3601,0.10330463760066648
231214B,32,3229,3601,0.8966953623993336
231215A,3,6945,10894,0.6375068845235909
231215A,32,3949,10894,0.36249311547640906
231215B,3,3448,3448,1.0
