year,new_district_id,candidate,party,estimated_votes
2016,11,Conaway,REPUBLICAN,683.7068426197458
2016,11,Landholt,LIBERTARIAN,37.873313782991204
2016,23,Conaway,REPUBLICAN,2.2931573802541543
2016,23,Landholt,LIBERTARIAN,0.12668621700879765
2018,11,CONAWAY,REPUBLICAN,641.719550342131
2018,11,LEEDER,DEMOCRAT,77.7208211143695
2018,11,SMITH,LIBERTARIAN,10.971163245356793
2018,23,CONAWAY,REPUBLICAN,2.2804496578690125
2018,23,LEEDER,DEMOCRAT,0.27917888563049853
2018,23,SMITH,LIBERTARIAN,0.028836754643206255
2020,11,CODY,LIBERTARIAN,12.96808667815809
2020,11,HOGG,DEMOCRAT,108.6601822211278
2020,11,PFLUGER,REPUBLICAN,758.2753508987934
2020,23,CODY,LIBERTARIAN,0.03191332184191086
2020,23,HOGG,DEMOCRAT,0.33981777887219894
2020,23,PFLUGER,REPUBLICAN,2.724649101206599
2022,11,PFLUGER,REPUBLICAN,626.0368021932418
2022,23,PFLUGER,REPUBLICAN,1.9631978067583034
2024,11,PFLUGER,REPUBLICAN,767.5851754970635
2024,23,PFLUGER,REPUBLICAN,2.414824502936479
