year,new_district_id,candidate,party,estimated_votes
2016,15,Barrera,DEMOCRAT,9.852631578947369
2016,15,Farenthold,REPUBLICAN,27.26578947368421
2016,27,Barrera,DEMOCRAT,874.1473684210526
2016,27,Farenthold,REPUBLICAN,4192.734210526316
2018,15,CLOUD,REPUBLICAN,25.52105263157895
2018,15,DUERR,OTHER,0.17105263157894737
2018,15,HOLGUIN,DEMOCRAT,8.689473684210526
2018,15,TINUS,LIBERTARIAN,0.1368421052631579
2018,27,CLOUD,REPUBLICAN,3906.478947368421
2018,27,DUERR,OTHER,26.828947368421055
2018,27,HOLGUIN,DEMOCRAT,754.3105263157895
2018,27,TINUS,LIBERTARIAN,22.863157894736844
2020,15,CLOUD,REPUBLICAN,34.386353566681436
2020,15,DE LA FUENTE,DEMOCRAT,9.987594151528578
2020,15,GRAY,LIBERTARIAN,0.6911829862649534
2020,27,CLOUD,REPUBLICAN,5241.6136464333185
2020,27,DE LA FUENTE,DEMOCRAT,912.0124058484714
2020,27,GRAY,LIBERTARIAN,86.30881701373505
2022,15,CLOUD,REPUBLICAN,25.122247850702454
2022,15,PEREZ,DEMOCRAT,4.939400293562592
2022,27,CLOUD,REPUBLICAN,4022.8777521492975
2022,27,PEREZ,DEMOCRAT,521.0605997064374
2024,15,CLOUD,REPUBLICAN,33.8888655902705
2024,15,LLOYD,DEMOCRAT,7.883413713566786
2024,27,CLOUD,REPUBLICAN,5354.11113440973
2024,27,LLOYD,DEMOCRAT,844.1165862864332
