year,new_district_id,candidate,party,estimated_votes
2016,1,Babin,REPUBLICAN,74.53286620744355
2016,1,Ridley,OTHER,5.709259394963489
2016,14,Babin,REPUBLICAN,101.02395280235987
2016,14,Ridley,OTHER,2.61671051582556
2016,36,Babin,REPUBLICAN,10633.443180990196
2016,36,Ridley,OTHER,1005.674030089211
2018,1,BABIN,REPUBLICAN,64.18882928280155
2018,1,STEELE,DEMOCRAT,11.371526730061298
2018,14,BABIN,REPUBLICAN,85.16304871242924
2018,14,STEELE,DEMOCRAT,5.747722235509846
2018,36,BABIN,REPUBLICAN,9422.648122004768
2018,36,STEELE,DEMOCRAT,2195.8807510344286
2020,1,ABBEY,LIBERTARIAN,0.6767929961290768
2020,1,BABIN,REPUBLICAN,89.63443914718992
2020,1,LEWIS,DEMOCRAT,12.693490124404057
2020,1,RIDLEY,OTHER,0.145591759847577
2020,14,ABBEY,LIBERTARIAN,0.9279175578456154
2020,14,BABIN,REPUBLICAN,119.92290103052693
2020,14,LEWIS,DEMOCRAT,5.121742173828505
2020,14,RIDLEY,OTHER,0.0
2020,36,ABBEY,LIBERTARIAN,151.39528944602532
2020,36,BABIN,REPUBLICAN,12327.442659822284
2020,36,LEWIS,DEMOCRAT,2731.1847677017677
2020,36,RIDLEY,OTHER,26.854408240152424
2022,1,BABIN,REPUBLICAN,71.72468812773184
2022,1,HAIRE,DEMOCRAT,9.329510185959498
2022,14,BABIN,REPUBLICAN,94.09522846587595
2022,14,HAIRE,DEMOCRAT,3.8552751312463545
2022,36,BABIN,REPUBLICAN,9392.180083406392
2022,36,HAIRE,DEMOCRAT,1571.815214682794
2024,1,BABIN,REPUBLICAN,96.47857737104825
2024,1,STEELE,DEMOCRAT,13.342834265860873
2024,14,BABIN,REPUBLICAN,128.18250826365934
2024,14,STEELE,DEMOCRAT,6.062648259770562
2024,36,BABIN,REPUBLICAN,12968.338914365293
2024,36,STEELE,DEMOCRAT,2395.594517474369
