old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2410001,36,66,66,1.0
2410002,1,0,804,0.0
2410002,36,804,804,1.0
2410003,1,227,2404,0.09442595673876872
2410003,36,2177,2404,0.9055740432612313
2410004,1,79,1544,0.05116580310880829
2410004,36,1465,1544,0.9488341968911918
2410005,36,410,410,1.0
2410006,36,4164,4164,1.0
2410007,36,3605,3605,1.0
2410008,36,3446,3446,1.0
2410009,36,3539,3539,1.0
2410010,36,4548,4548,1.0
2410011,36,1225,1225,1.0
2410012,36,2270,2270,1.0
2410013,36,1256,1256,1.0
2410014,36,4500,4500,1.0
2410015,36,5438,5438,1.0
2410016,14,226,1850,0.12216216216216216
2410016,36,1624,1850,0.8778378378378379
2410017,14,238,2363,0.10071942446043165
2410017,36,2125,2363,0.8992805755395683
2410019,36,3516,3516,1.0
2410020,36,2448,2448,1.0
2410021,36,3974,3974,1.0
